Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Salary,Team,Age,OBP,SLG,OPS
정진호,32.0,24.0,3.0,9.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,15.0,1.5,6.0,2.0,외,5200,OB,28,0.53125,0.4583333333333333,0.9895833333333333
고종욱,566.0,527.0,72.0,92.0,176.0,22.0,9.0,8.0,28.0,14.0,1.0,5.0,28.0,1.0,5.0,103.0,10.0,1.0,91.0,35.666666667,137.0,56.0,외,7700,WO,27,0.36991150442477877,0.45540796963946867,0.8253194740642474
홍성갑,68.0,62.0,7.0,4.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,18.0,2.0,0.0,8.0,4.0,17.0,4.0,외,3200,WO,24,0.29411764705882354,0.25806451612903225,0.5521821631878558
김정혁,118.0,106.0,11.0,13.0,25.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,0.0,1.0,25.0,3.0,2.0,23.0,2.5,26.0,4.0,내,3300,SS,31,0.29914529914529914,0.32075471698113206,0.6199000161264312
김민하,49.0,45.0,1.0,8.0,9.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,19.0,2.0,1.0,16.0,0.0,12.0,0.0,외,4000,LT,27,0.23404255319148937,0.28888888888888886,0.5229314420803782
김사훈,36.0,28.0,4.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,9.0,2.5,9.0,3.0,포,2900,LT,29,0.3870967741935484,0.35714285714285715,0.7442396313364055
윤정우,82.0,67.0,13.0,20.0,20.0,5.0,0.0,2.0,6.0,1.0,2.0,1.0,5.0,0.0,7.0,15.0,2.0,1.0,21.0,4.5,14.0,5.0,외,2900,HT,28,0.4,0.4626865671641791,0.8626865671641791
강경학,116.0,101.0,7.0,16.0,16.0,3.0,2.0,1.0,0.0,0.0,4.0,1.0,8.0,0.0,2.0,30.0,5.0,7.0,15.0,2.0,25.0,2.0,내,6500,HH,24,0.23214285714285715,0.25742574257425743,0.4895685997171146
나성용,13.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,5.0,0.0,외,3700,SS,28,0.23076923076923078,0.16666666666666666,0.39743589743589747
오준혁,144.0,132.0,15.0,18.0,35.0,8.0,4.0,2.0,1.0,2.0,2.0,0.0,9.0,0.0,1.0,38.0,2.0,1.0,25.0,6.5,26.0,8.0,외,3300,HT,24,0.31690140845070425,0.4318181818181818,0.7487195902688861
김지성,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,내,3800,LG,31,0.0,0.0,0.0
윤병호,9.0,9.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,외,2900,NC,27,0.1111111111111111,0.4444444444444444,0.5555555555555556
조윤준,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,포,3000,LG,27,1.0,1.0,2.0
서상우,137.0,111.0,12.0,18.0,28.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,25.0,1.0,1.0,37.0,1.0,0.0,27.0,4.0,25.0,5.0,내,6000,LG,27,0.39416058394160586,0.40540540540540543,0.7995659893470113
류지혁,134.0,118.0,9.0,34.0,34.0,5.0,0.0,3.0,3.0,2.0,2.0,1.0,10.0,0.0,3.0,28.0,0.0,2.0,31.0,7.0,27.0,8.0,내,3000,OB,22,0.3560606060606061,0.4067796610169492,0.7628402670775553
박세혁,210.0,172.0,23.0,26.0,36.0,5.0,1.0,5.0,2.0,2.0,11.0,3.0,22.0,0.0,2.0,45.0,1.0,2.0,35.0,6.5,54.0,8.0,포,3000,OB,26,0.3015075376884422,0.3372093023255814,0.6387168400140235
유민상,254.0,213.0,37.0,30.0,60.0,12.0,1.0,4.0,1.0,1.0,3.0,4.0,25.0,0.0,9.0,39.0,8.0,5.0,47.0,12.583333333,61.0,19.0,내,3200,KT,27,0.3745019920318725,0.40375586854460094,0.7782578605764734
지재옥,17.0,13.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,0.0,6.0,1.0,4.0,1.0,포,2700,WO,28,0.4117647058823529,0.46153846153846156,0.8733031674208145
김재현,82.0,72.0,8.0,8.0,13.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,14.0,1.0,1.0,14.0,3.0,16.0,5.0,포,4400,WO,23,0.2625,0.20833333333333334,0.4708333333333333
박정음,263.0,223.0,26.0,45.0,69.0,5.0,3.0,4.0,16.0,9.0,5.0,2.0,30.0,0.0,3.0,52.0,5.0,3.0,54.0,12.833333333000002,52.0,19.0,외,2700,WO,27,0.3953488372093023,0.4125560538116592,0.8079048910209615
구자욱,495.0,428.0,77.0,105.0,147.0,19.0,13.0,14.0,10.0,5.0,2.0,5.0,55.0,1.0,5.0,68.0,4.0,7.0,109.0,25.899999999,128.0,45.0,내,8000,SS,23,0.4198782961460446,0.5467289719626168,0.9666072681086615
성의준,23.0,20.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,11.0,1.0,5.0,1.0,내,3000,SS,27,0.2608695652173913,0.3,0.5608695652173913
박해민,641.0,564.0,61.0,109.0,169.0,26.0,12.0,4.0,52.0,15.0,22.0,3.0,49.0,2.0,3.0,87.0,6.0,2.0,100.0,26.916666666,127.0,38.0,외,15000,SS,26,0.3570274636510501,0.4095744680851064,0.7666019317361565
신본기,104.0,81.0,10.0,13.0,25.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,13.0,0.0,8.0,12.0,3.0,2.0,28.0,4.5,26.0,8.0,내,5500,LT,27,0.45098039215686275,0.3950617283950617,0.8460421205519244
김준태,144.0,120.0,16.0,12.0,33.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,22.0,1.0,0.0,42.0,0.0,0.0,26.0,6.5,38.0,7.0,포,3000,LT,22,0.38461538461538464,0.36666666666666664,0.7512820512820513
김상호,415.0,366.0,56.0,39.0,106.0,20.0,0.0,7.0,3.0,1.0,2.0,5.0,38.0,2.0,4.0,84.0,10.0,6.0,95.0,18.833333332,110.0,30.0,내,2800,LT,27,0.3583535108958838,0.4016393442622951,0.7599928551581789
윤완주,34.0,30.0,2.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,8.0,0.0,내,3500,HT,27,0.21212121212121213,0.26666666666666666,0.47878787878787876
하주석,441.0,405.0,57.0,58.0,113.0,21.0,1.0,10.0,5.0,7.0,8.0,1.0,18.0,1.0,9.0,115.0,3.0,19.0,88.0,18.5,110.0,32.0,내,3200,HH,22,0.3233256351039261,0.40987654320987654,0.7332021783138026
김원석,9.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,외,3000,HH,27,0.3333333333333333,0.25,0.5833333333333333
양성우,446.0,384.0,53.0,52.0,104.0,12.0,4.0,4.0,5.0,2.0,8.0,6.0,39.0,0.0,9.0,67.0,6.0,3.0,90.0,22.250000001,107.0,34.0,외,2800,HH,27,0.3470319634703196,0.3541666666666667,0.7011986301369864
박승욱,103.0,87.0,13.0,19.0,24.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,9.0,0.0,2.0,28.0,0.0,2.0,19.0,5.833333333,30.0,9.0,내,2700,SK,24,0.35353535353535354,0.4482758620689655,0.8018112156043191
김민식,170.0,144.0,14.0,17.0,37.0,9.0,0.0,2.0,1.0,1.0,3.0,0.0,21.0,0.0,2.0,38.0,2.0,7.0,49.0,9.833333333,39.0,12.0,포,3000,SK,27,0.3592814371257485,0.3611111111111111,0.7203925482368596
최정민,177.0,155.0,11.0,29.0,51.0,4.0,1.0,0.0,8.0,4.0,6.0,1.0,8.0,0.0,7.0,48.0,1.0,5.0,52.0,8.0,41.0,12.0,내,3000,SK,27,0.38596491228070173,0.36774193548387096,0.7537068477645728
한동민,20.0,18.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0,2.0,0.0,외,7000,SK,27,0.35,0.2777777777777778,0.6277777777777778
박민우,515.0,435.0,55.0,84.0,149.0,16.0,6.0,3.0,20.0,6.0,10.0,7.0,55.0,1.0,8.0,70.0,9.0,14.0,122.0,30.833333333,106.0,46.0,내,19000,NC,23,0.4198019801980198,0.42758620689655175,0.8473881870945715
황윤호,12.0,12.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,13.0,0.5,7.0,1.0,내,2700,NC,23,0.08333333333333333,0.08333333333333333,0.16666666666666666
강구성,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,외,2700,NC,23,0.0,0.0,0.0
박세웅,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,포,2700,NC,23,0.0,0.0,0.0
김성욱,348.0,306.0,51.0,60.0,81.0,15.0,1.0,15.0,5.0,2.0,7.0,2.0,30.0,0.0,3.0,64.0,15.0,1.0,62.0,19.5,85.0,27.0,외,5500,NC,23,0.3343108504398827,0.4673202614379085,0.8016311118777912
나성범,653.0,572.0,113.0,116.0,177.0,37.0,2.0,22.0,7.0,4.0,1.0,4.0,67.0,2.0,9.0,136.0,4.0,8.0,131.0,32.316666666,181.0,58.0,외,30000,NC,27,0.3880368098159509,0.4965034965034965,0.8845403063194475
황목치승,39.0,39.0,4.0,7.0,7.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,2.5,8.0,3.0,내,4000,LG,31,0.1794871794871795,0.2564102564102564,0.4358974358974359
김진곤,8.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,4.0,0.0,외,3500,KT,29,0.125,0.125,0.25
강승호,41.0,38.0,3.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,12.0,0.0,5.0,6.0,2.0,9.0,2.0,내,2700,LG,22,0.21951219512195122,0.2631578947368421,0.48267008985879334
김인태,19.0,18.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,8.0,3.0,외,2800,OB,22,0.21052631578947367,0.2222222222222222,0.4327485380116959
이우성,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,외,2800,OB,22,0.2,0.2,0.4
김민준,13.0,12.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,외,2700,WO,22,0.15384615384615385,0.08333333333333333,0.23717948717948717
장시윤,14.0,10.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,3.0,6.0,0.0,4.0,0.0,내,3300,WO,23,0.42857142857142855,0.2,0.6285714285714286
이흥련,174.0,150.0,25.0,20.0,39.0,11.0,0.0,6.0,0.0,0.0,9.0,2.0,8.0,0.0,5.0,41.0,4.0,5.0,23.0,10.5,37.0,14.0,포,7500,SS,27,0.3151515151515151,0.4533333333333333,0.7684848484848484
김영환,12.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,내,3700,KT,23,0.16666666666666666,0.16666666666666666,0.3333333333333333
이홍구,273.0,241.0,45.0,27.0,64.0,16.0,2.0,9.0,0.0,1.0,3.0,6.0,19.0,1.0,4.0,66.0,5.0,5.0,47.0,15.333333333,73.0,19.0,포,7000,HT,26,0.32222222222222224,0.4605809128630705,0.7828031350852928
고영우,81.0,70.0,4.0,18.0,15.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,7.0,0.0,3.0,15.0,1.0,4.0,16.0,3.0,24.0,4.0,내,3900,HT,26,0.3125,0.2571428571428571,0.5696428571428571
장운호,85.0,76.0,11.0,7.0,18.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,16.0,1.0,0.0,16.0,4.833333334,21.0,8.0,외,4200,HH,22,0.2926829268292683,0.2894736842105263,0.5821566110397947
노수광,238.0,207.0,30.0,43.0,64.0,4.0,2.0,4.0,12.0,2.0,10.0,0.0,20.0,0.0,1.0,46.0,0.0,1.0,47.0,12.0,46.0,19.0,외,3000,HT,26,0.37280701754385964,0.4057971014492754,0.778604118993135
한승택,30.0,28.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,8.0,2.5,7.0,3.0,포,2700,HT,22,0.20689655172413793,0.17857142857142858,0.3854679802955665
최재원,105.0,81.0,16.0,20.0,27.0,3.0,0.0,4.0,3.0,1.0,2.0,2.0,17.0,0.0,3.0,17.0,2.0,1.0,22.0,5.666666666999999,23.0,9.0,외,5000,SS,26,0.4563106796116505,0.5185185185185185,0.974829198130169
김준완,325.0,253.0,12.0,60.0,66.0,7.0,1.0,1.0,2.0,5.0,2.0,1.0,66.0,0.0,2.0,62.0,4.0,1.0,74.0,8.5,56.0,10.0,외,3000,NC,25,0.4161490683229814,0.308300395256917,0.7244494635798984
권희동,47.0,41.0,9.0,4.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,9.0,0.0,0.0,7.0,2.0,17.0,4.0,외,6800,NC,26,0.3617021276595745,0.34146341463414637,0.7031655422937209
김민혁,31.0,29.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,11.0,0.0,외,4700,KT,21,0.16129032258064516,0.13793103448275862,0.2992213570634038
심우준,251.0,236.0,17.0,36.0,57.0,9.0,1.0,3.0,17.0,1.0,5.0,2.0,8.0,0.0,0.0,40.0,5.0,13.0,56.0,6.5,55.0,8.0,내,3500,KT,21,0.26422764227642276,0.326271186440678,0.5904988287171007
문상철,87.0,80.0,7.0,9.0,16.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,26.0,2.0,6.0,22.0,3.5,13.0,4.0,내,3600,KT,25,0.25287356321839083,0.325,0.5778735632183909
안중열,29.0,28.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,4.0,2.0,8.0,2.0,포,4000,LT,21,0.20689655172413793,0.21428571428571427,0.4211822660098522
신성현,184.0,158.0,24.0,30.0,44.0,8.0,0.0,8.0,0.0,4.0,6.0,0.0,15.0,0.0,5.0,54.0,3.0,7.0,31.0,7.5,47.0,9.0,내,3700,HH,26,0.3595505617977528,0.4810126582278481,0.8405632200256009
박재욱,50.0,47.0,4.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,3.0,2.0,9.0,3.0,16.0,4.0,포,2700,LG,21,0.2857142857142857,0.2978723404255319,0.5835866261398176
장준원,15.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,내,3000,LG,21,0.2,0.07692307692307693,0.27692307692307694
양석환,215.0,203.0,37.0,24.0,56.0,10.0,1.0,6.0,3.0,0.0,3.0,2.0,6.0,0.0,1.0,48.0,1.0,5.0,32.0,14.166666666,73.0,22.0,내,7000,LG,25,0.2971698113207547,0.4236453201970443,0.7208151315177991
배병옥,55.0,50.0,3.0,10.0,13.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,18.0,0.0,2.0,19.0,2.0,12.0,2.0,외,3500,KT,21,0.3148148148148148,0.28,0.5948148148148149
최용제,11.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.333333333,5.0,1.0,포,2700,OB,25,0.3,0.2222222222222222,0.5222222222222221
김하성,599.0,526.0,84.0,92.0,148.0,29.0,7.0,20.0,28.0,15.0,2.0,5.0,60.0,2.0,6.0,80.0,7.0,21.0,92.0,31.416666665,146.0,46.0,내,16000,WO,21,0.35845896147403683,0.47718631178707227,0.835645273261109
임병욱,265.0,233.0,24.0,43.0,58.0,11.0,1.0,8.0,17.0,6.0,6.0,0.0,25.0,0.0,1.0,82.0,2.0,3.0,45.0,9.0,61.0,12.0,내,4000,WO,21,0.32432432432432434,0.40772532188841204,0.7320496462127364
박계범,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내,2900,SS,20,,,
최선호,27.0,26.0,3.0,11.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,21.0,2.0,9.0,2.0,외,3500,SS,25,0.14814814814814814,0.15384615384615385,0.301994301994302
김재현,215.0,188.0,14.0,25.0,41.0,7.0,0.0,0.0,1.0,1.0,11.0,1.0,8.0,0.0,7.0,42.0,10.0,9.0,41.0,6.333333333000001,53.0,9.0,내,4500,SS,25,0.27450980392156865,0.2553191489361702,0.5298289528577389
강한울,322.0,298.0,27.0,36.0,81.0,13.0,3.0,0.0,7.0,3.0,9.0,0.0,15.0,0.0,0.0,46.0,2.0,11.0,65.0,17.833333333,80.0,25.0,내,6000,HT,25,0.30670926517571884,0.33557046979865773,0.6422797349743765
박찬호,46.0,42.0,3.0,9.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,9.0,2.0,7.0,18.0,3.0,14.0,3.0,내,3700,HT,21,0.2222222222222222,0.16666666666666666,0.38888888888888884
필,544.0,499.0,86.0,71.0,156.0,37.0,1.0,20.0,10.0,3.0,0.0,7.0,33.0,0.0,5.0,70.0,16.0,13.0,115.0,22.583333332,116.0,33.0,내,900000,HT,32,0.35661764705882354,0.5110220440881763,0.8676396911469999
지성준,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,포,3000,HH,22,,,
박준혁,9.0,8.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,외,2700,HH,25,0.4444444444444444,0.625,1.0694444444444444
조성모,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,내,2700,SK,24,0.5,0.5,1.0
유서준,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,내,2900,SK,21,0.0,0.0,0.0
이진석,45.0,43.0,2.0,6.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,1.0,0.0,10.0,1.0,8.0,1.0,외,2900,SK,21,0.2222222222222222,0.2558139534883721,0.4780361757105943
강민국,26.0,23.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,1.0,4.0,8.0,1.0,6.0,1.0,내,2700,NC,24,0.2,0.30434782608695654,0.5043478260869565
테임즈,529.0,436.0,121.0,118.0,140.0,30.0,3.0,40.0,13.0,4.0,0.0,7.0,74.0,6.0,12.0,103.0,2.0,4.0,88.0,27.0,138.0,42.0,내,1250000,NC,30,0.42722117202268434,0.6788990825688074,1.1061202545914917
박광열,15.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,1.0,2.0,1.0,포,3000,NC,21,0.4,0.4,0.8
김태진,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,내,3000,NC,21,0.5,0.5,1.0
마르테,381.0,325.0,74.0,52.0,86.0,16.0,0.0,22.0,0.0,0.0,0.0,5.0,50.0,0.0,1.0,51.0,12.0,7.0,57.0,19.399999999,97.0,32.0,내,750000,KT,33,0.35958005249343833,0.5169230769230769,0.8765031294165153
김만수,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,포,2900,KT,20,0.0,0.0,0.0
정주후,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,내,2700,KT,21,0.0,0.0,0.0
히메네스,579.0,523.0,102.0,101.0,161.0,36.0,0.0,26.0,18.0,9.0,1.0,6.0,39.0,2.0,10.0,67.0,8.0,17.0,98.0,29.666666666,148.0,45.0,내,500000,LG,28,0.3633217993079585,0.5258126195028681,0.8891344188108266
안익훈,52.0,45.0,4.0,13.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,9.0,0.0,2.0,17.0,3.0,8.0,3.0,외,4100,LG,20,0.35294117647058826,0.3111111111111111,0.6640522875816994
박성준,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,내,3000,LG,20,0.0,0.0,0.0
정진철,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,내,2700,OB,25,0.0,0.0,0.0
허정협,20.0,17.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,1.0,6.0,1.0,2.0,1.0,외,3000,WO,26,0.3,0.17647058823529413,0.4764705882352941
