Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_19,Money_20,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSR,wOBA,BABIP,OW%
이대호,549,485,88,48,138,23,1,16,0,0,0,7,47,4,10,65,19,1,102,28.83333333,131,38,내,250000,250000,0.35519,0.43505,0.79024,0.2686,0.3299,0.73224,65.62486,2.43055,72.47,0.15052,0,0.63907,0.29684,0.93003
오지환,547,473,53,63,119,23,5,9,27,5,7,3,57,1,7,113,7,12,112,19.66666667,125,32,내,40000,60000,0.33889,0.37844,0.71732,0.24711,0.37209,0.7377,53.85896,1.99478,66.686,0.12685,13.5,0.63106,0.31073,0.89953
이명기,547,484,36,62,142,17,3,2,14,4,7,4,48,2,4,66,12,2,126,19,108,29,외,22000,24000,0.35926,0.35331,0.71257,0.24999,0.22521,0.66201,59.3384,2.19772,62.992,0.05992,3.5,0.57331,0.33333,0.91573
김상수,543,468,38,76,127,20,2,5,21,3,6,4,50,1,15,67,14,10,105,16.58333333,114,26,내,25000,25000,0.35754,0.3547,0.71224,0.24957,0.28632,0.70391,57.87466,2.14351,63.824,0.08333,8.07692,0.61325,0.305,0.9118
박찬호,541,504,49,60,131,15,4,2,39,6,5,2,26,0,4,83,8,16,93,23.25,130,40,내,4200,10500,0.30037,0.31746,0.61783,0.21453,0.21627,0.59173,44.40755,1.64472,51.886,0.05754,3.80488,0.54495,0.30641,0.85889
허경민,540,475,60,71,137,25,1,4,11,5,3,11,34,2,17,36,16,8,103,26.66666667,111,36,내,38500,48000,0.35009,0.37053,0.72062,0.25017,0.22947,0.66295,59.66739,2.2099,63.402,0.08211,5.86667,0.6032,0.29821,0.91658
박건우,537,458,64,83,146,27,5,10,12,3,1,11,60,0,7,57,23,3,115,23.66666667,116,33,외,38500,45000,0.39739,0.46507,0.86245,0.29509,0.38865,0.86391,76.8713,2.84709,82.084,0.14629,10.90909,0.65329,0.33831,0.94802
박병호,532,432,98,92,121,22,0,33,0,1,0,9,78,5,13,117,7,6,110,21,117,34,내,150000,200000,0.3985,0.56019,0.95868,0.31937,0.58565,1.04389,81.9395,3.0348,98.344,0.28009,0,0.77067,0.30241,0.95396
오재일,529,467,102,76,137,29,1,21,2,1,0,4,55,1,3,99,5,4,94,27.7,131,45,내,30000,47000,0.36862,0.49465,0.86327,0.28954,0.43041,0.86607,73.51494,2.72278,83.968,0.20128,3.65217,0.69923,0.33048,0.94344
박민우,526,468,45,89,161,23,8,1,18,7,2,6,41,1,9,40,10,9,100,25.83333333,96,32,내,38000,52000,0.40267,0.43376,0.83643,0.28964,0.26923,0.83642,80.63714,2.98656,79.38,0.08974,1.89474,0.59939,0.36952,0.95254
구자욱,526,475,71,66,127,27,6,15,11,3,0,6,38,2,7,88,5,2,95,20.66666667,106,32,외,30000,28000,0.327,0.44421,0.77121,0.2582,0.37474,0.75,60.58372,2.24384,71.266,0.17684,12.69231,0.65706,0.2963,0.91889
김민혁,521,466,32,68,131,10,1,0,22,10,5,5,32,0,13,61,8,4,91,19.66666667,109,28,외,3900,9000,0.34109,0.30687,0.64795,0.23021,0.14378,0.5949,48.41863,1.79328,52.752,0.02575,0,0.56597,0.31951,0.87858
채은성,514,470,72,59,148,18,1,12,2,2,0,8,24,1,12,67,9,2,112,24.65,133,44,외,31000,32000,0.35798,0.43404,0.79202,0.2696,0.23617,0.72673,66.50022,2.46297,71.764,0.11915,3.42857,0.62573,0.34085,0.93174
정수빈,513,441,41,75,117,19,5,0,26,8,4,5,57,0,6,60,6,3,93,20.33333333,110,27,외,24500,34000,0.35363,0.33107,0.6847,0.2419,0.29025,0.69527,53.45887,1.97996,59.07,0.06576,0,0.62035,0.30311,0.89817
고종욱,513,492,56,76,159,25,7,3,31,10,0,2,18,1,1,89,5,3,103,29.33333333,126,43,외,11000,17000,0.34698,0.42073,0.76771,0.26132,0.24797,0.73851,63.4082,2.34845,68.558,0.09756,5.47059,0.58338,0.38806,0.92542
황재균,507,448,67,78,127,16,3,20,10,7,0,5,52,2,2,71,10,11,87,19.33333333,103,27,내,120000,120000,0.357,0.46652,0.82352,0.27728,0.39286,0.80769,65.62606,2.43059,73.872,0.18304,13.33333,0.68693,0.29558,0.93003
박세혁,505,441,63,58,123,19,9,4,8,2,10,6,41,1,7,68,5,8,101,24.16666667,141,41,포,10000,23200,0.34545,0.39002,0.73548,0.25296,0.29025,0.70154,57.09438,2.11461,62.936,0.11111,5.33333,0.63423,0.31733,0.90959
강백호,505,438,65,72,147,29,1,13,9,5,0,4,61,4,2,87,11,3,103,21.25,116,33,외,12000,21000,0.41584,0.49543,0.91128,0.31099,0.40639,0.94137,77.96287,2.88751,84.244,0.15982,10.63636,0.7055,0.39181,0.94939
이재원,502,451,75,33,121,19,0,12,1,0,1,7,34,2,9,59,16,6,102,25.58333333,132,40,포,140000,130000,0.32735,0.39024,0.71759,0.24487,0.26829,0.63584,50.28642,1.86246,57.118,0.12195,1.84615,0.65395,0.28165,0.88642
한동민,502,427,52,52,113,20,0,12,0,1,0,0,55,4,20,100,6,4,100,17.5,91,24,외,33000,25000,0.3745,0.39578,0.77029,0.26747,0.33255,0.76012,56.22698,2.08248,65.72,0.13115,0,0.70007,0.32063,0.90704
김태균,500,433,62,47,132,21,0,6,3,0,0,8,54,5,5,94,15,1,94,26.16666667,113,34,내,100000,50000,0.382,0.39492,0.77692,0.27063,0.28406,0.73734,57.42813,2.12697,65.978,0.09007,4,0.65637,0.3695,0.91055
박경수,490,421,65,43,104,24,0,10,0,1,4,6,55,1,4,102,14,9,94,21,121,34,내,40000,40000,0.33539,0.3753,0.71069,0.24475,0.33729,0.65361,41.62952,1.54183,54.184,0.12827,0,0.70106,0.29841,0.84249
서건창,486,426,41,67,128,23,3,2,17,3,3,5,49,1,3,50,5,6,91,21.5,96,33,내,35000,35000,0.37267,0.38263,0.7553,0.26336,0.29577,0.75817,62.27545,2.3065,65.15,0.08216,3.57895,0.65725,0.33245,0.9229
송광민,486,454,51,50,120,21,0,7,8,2,3,5,21,0,3,91,18,16,87,18.08333333,111,29,내,25000,25000,0.29814,0.35683,0.65496,0.22337,0.21366,0.54802,35.07757,1.29917,44.682,0.09251,7.46667,0.63416,0.31302,0.79156
이형종,482,419,63,56,120,24,1,13,6,5,1,10,42,1,10,78,9,2,84,17.75,113,28,외,17000,20000,0.35759,0.44153,0.79912,0.2713,0.34845,0.77636,57.89337,2.1442,67.986,0.15513,8.21053,0.71207,0.31657,0.91185
이성열,476,414,85,60,106,21,1,21,8,4,1,4,48,1,9,114,7,5,93,25.33333333,118,37,내,32000,50000,0.34316,0.46377,0.80693,0.27036,0.4372,0.80564,52.84577,1.95725,67.648,0.20773,11.58621,0.75619,0.30035,0.89604
김성현,472,426,34,45,105,16,2,1,6,2,8,3,33,0,2,43,15,26,95,17.08333333,111,24,내,28000,21000,0.30172,0.30047,0.60219,0.21089,0.18545,0.5,33.67165,1.2471,37.026,0.05399,1.71429,0.63496,0.27013,0.77774
김재호,470,377,48,51,101,22,0,4,3,3,8,11,67,3,7,58,10,10,104,17.5,105,27,내,65000,65000,0.37879,0.35809,0.73688,0.25998,0.33687,0.73356,51.12501,1.89352,58.956,0.09019,3.42857,0.727,0.29755,0.88971
이창진,470,400,48,57,108,25,1,6,8,8,4,5,57,0,4,92,8,5,92,17.33333333,101,27,내,3100,8500,0.36266,0.3825,0.74516,0.25882,0.335,0.72078,47.12518,1.74538,57.334,0.1125,6.85714,0.7185,0.33225,0.87268
유강남,468,418,49,44,113,22,0,16,0,0,1,6,30,2,13,82,21,7,78,15.16666667,100,21,포,21000,23000,0.33405,0.4378,0.77185,0.25977,0.33014,0.69325,47.12074,1.74521,57.204,0.16746,0,0.72869,0.29755,0.87266
김헌곤,467,411,46,57,122,20,1,5,10,8,5,6,37,1,8,41,18,0,108,22.41666667,99,31,외,15500,19000,0.36147,0.38686,0.74833,0.25938,0.24818,0.67937,51.38504,1.90315,54.512,0.09002,6.66667,0.68263,0.31536,0.8907
김강민,460,422,50,54,114,14,2,8,15,8,0,3,31,3,4,103,2,3,79,21.5,104,31,외,40000,35000,0.32391,0.36967,0.69358,0.23818,0.24645,0.6478,41.6844,1.54387,52.276,0.09953,10.43478,0.66739,0.33758,0.84284
양의지,459,390,68,61,138,26,0,20,4,3,0,6,48,4,15,43,13,2,100,26.5,110,40,포,200000,200000,0.43791,0.57436,1.01227,0.34065,0.4641,1.08582,86.42533,3.20094,88.726,0.22051,6.66667,0.80216,0.35435,0.95843
이원석,455,395,76,44,97,20,0,19,2,1,2,7,43,0,8,73,10,13,78,22.33333333,115,35,내,30000,30000,0.32671,0.44051,0.76722,0.25715,0.40506,0.73463,48.46292,1.79492,59.706,0.19494,3.61905,0.77131,0.25161,0.87877
오선진,453,392,36,37,88,16,0,3,7,2,10,3,38,0,10,72,8,12,90,18.16666667,99,26,내,7500,10500,0.307,0.28827,0.59526,0.21022,0.22194,0.53503,29.67541,1.09909,37.894,0.06378,4.2,0.69551,0.26563,0.73104
최재훈,451,373,31,47,108,18,0,3,3,10,4,4,56,0,14,61,9,6,94,14.16666667,89,20,포,12500,20000,0.39821,0.36193,0.76014,0.26968,0.26005,0.73239,50.9612,1.88745,55.892,0.07239,3,0.72923,0.33546,0.88908
김선빈,447,394,40,55,115,22,0,3,5,4,5,4,43,0,1,26,7,10,89,18.66666667,91,27,내,30000,45000,0.35973,0.37056,0.73029,0.25452,0.25381,0.67241,52.84264,1.95713,53.512,0.07868,3.75,0.7076,0.30352,0.89603
노수광,445,388,28,69,97,16,1,2,27,10,9,0,46,0,2,68,1,3,62,16,63,21,외,26500,21000,0.33257,0.31186,0.64442,0.22762,0.2732,0.64901,39.09346,1.44791,45.676,0.06186,3.72414,0.70118,0.29874,0.82508
박석민,444,360,74,49,96,17,1,19,1,2,4,3,65,2,12,69,17,11,92,19.08333333,107,30,내,75000,70000,0.39318,0.47778,0.87096,0.29638,0.49167,0.88339,57.92732,2.14546,66.348,0.21111,1.9,0.827,0.28,0.91195
이학주,436,385,36,43,101,14,3,7,15,5,5,4,32,0,10,89,3,19,80,14.33333333,95,22,내,2700,9000,0.33179,0.36883,0.70062,0.24151,0.27792,0.68151,41.69616,1.5443,51.458,0.10649,9.54545,0.71915,0.32082,0.84291
심우준,433,391,28,54,109,13,1,3,24,3,12,1,23,0,6,68,7,11,103,12.33333333,79,20,내,8500,13000,0.32779,0.34015,0.66794,0.23254,0.21739,0.63699,41.02705,1.51952,46.276,0.06138,5.33333,0.69131,0.33022,0.83858
정주현,425,376,27,53,87,19,2,2,15,6,16,1,31,0,1,91,10,13,64,9.166666666,87,17,내,8800,12500,0.29095,0.30851,0.59946,0.20806,0.24468,0.53443,23.02308,0.85271,32.872,0.07713,3.52941,0.72984,0.2993,0.62063
민병헌,420,369,43,52,112,24,2,9,13,6,1,3,42,0,5,55,9,2,82,11.51666667,83,24,외,125000,125000,0.37947,0.45257,0.83205,0.28391,0.37669,0.83456,56.83093,2.10485,61.47,0.14905,10.63636,0.78838,0.33442,0.90883
정의윤,419,380,59,44,107,24,0,13,0,0,0,2,30,1,6,60,9,1,77,19.16666667,111,31,외,30000,30000,0.34211,0.44737,0.78947,0.26579,0.34211,0.7305,49.70105,1.84078,55.51,0.16579,0,0.79289,0.30421,0.88404
임병욱,419,379,41,39,92,17,5,0,10,2,6,0,23,0,11,110,6,4,90,17.66666667,101,27,외,10000,8800,0.30508,0.31398,0.61907,0.21578,0.21108,0.55254,26.13027,0.96779,36.47,0.07124,0,0.71036,0.34201,0.67818
권희동,413,348,41,37,89,17,0,6,3,0,5,3,50,1,7,60,10,4,98,13.33333333,97,22,외,14000,13500,0.35784,0.35632,0.71416,0.25011,0.31897,0.68401,41.33738,1.53101,47.53,0.10057,4,0.78922,0.29123,0.84061
장성우,413,366,41,25,96,7,0,7,0,1,4,6,35,2,2,86,11,5,73,13.5,97,24,포,9500,13500,0.32518,0.3388,0.66398,0.23103,0.20765,0.57092,32.20484,1.19277,41.522,0.0765,0,0.72699,0.319,0.76196
신본기,413,375,26,43,96,9,0,1,3,3,5,1,24,1,8,62,9,15,82,14.58333333,94,21,내,16000,12500,0.31373,0.288,0.60173,0.21318,0.12267,0.49141,28.43737,1.05324,32.924,0.032,1.5,0.69553,0.30351,0.71395
장영석,413,372,62,41,92,15,0,7,0,0,0,5,27,0,9,77,14,10,65,21.25,115,33,내,5300,7500,0.30993,0.34409,0.65401,0.22549,0.22849,0.55782,30.09387,1.11459,38.974,0.09677,0,0.74351,0.2901,0.73651
안치홍,408,362,49,45,114,18,1,5,4,2,0,5,40,1,1,37,9,11,98,17.75,124,29,내,50000,29000,0.3799,0.4116,0.7915,0.27386,0.27901,0.74903,54.47962,2.01776,56.034,0.09669,4.44444,0.75956,0.33538,0.90158
김민성,401,361,50,44,94,16,0,8,2,1,5,1,30,0,4,75,12,6,56,18.41666667,88,29,내,40000,40000,0.32323,0.37119,0.69442,0.23825,0.26316,0.60714,33.88575,1.25503,41.14,0.1108,3.2,0.78016,0.30824,0.77993
김태진,399,374,46,44,103,14,5,5,12,4,5,3,16,0,1,67,3,3,76,20.5,98,29,내,3300,9000,0.30457,0.37968,0.68425,0.23198,0.23262,0.61511,37.79268,1.39973,43.914,0.10428,7.05882,0.73137,0.32131,0.8151
강민호,393,346,45,36,81,20,0,13,0,0,2,3,33,2,9,76,9,8,71,12.16666667,85,20,포,125000,125000,0.31458,0.40462,0.7192,0.24272,0.36127,0.66423,34.55274,1.27973,44.622,0.17052,0,0.84588,0.26154,0.78654
오태곤,392,352,35,63,88,16,1,6,19,2,3,2,31,0,4,78,8,9,74,12.5,82,18,내,8000,9500,0.3162,0.35227,0.66847,0.23036,0.30398,0.64964,33.2119,1.23007,41.896,0.10227,9.12,0.78499,0.3037,0.77295
노진혁,390,348,43,51,92,23,2,13,0,1,6,3,31,2,2,80,7,5,59,14.58333333,79,19,내,10000,14000,0.32552,0.45402,0.77954,0.25999,0.38506,0.72348,40.6704,1.50631,50.16,0.18966,0,0.85462,0.3062,0.8362
김혜성,387,348,32,57,96,16,7,0,20,3,4,4,29,1,2,85,4,15,71,16.83333333,85,23,내,7000,10000,0.33159,0.36207,0.69366,0.23973,0.28448,0.6834,37.0673,1.37286,45.19,0.08621,0,0.75665,0.35955,0.80918
모창민,386,341,55,49,104,21,2,10,3,2,0,11,31,1,3,62,8,5,77,15.5,88,23,내,30000,30000,0.35751,0.46628,0.82379,0.27745,0.35191,0.79352,49.70361,1.84087,57.754,0.16129,4.61538,0.82833,0.33571,0.88405
김주찬,363,337,32,35,101,16,0,3,3,1,1,3,17,3,5,44,6,6,71,15.66666667,88,22,내,40000,40000,0.33978,0.37389,0.71367,0.24637,0.18694,0.6214,39.18164,1.45117,41.608,0.07418,3,0.80213,0.33447,0.82573
박동원,361,317,55,50,94,15,1,10,1,0,7,1,34,0,2,56,10,1,71,21.33333333,89,30,포,9000,22500,0.36723,0.44479,0.81203,0.27645,0.34069,0.76395,44.77625,1.65838,49.092,0.14826,1.81818,0.88486,0.33333,0.86088
장진혁,349,315,24,42,80,16,5,1,13,5,2,1,26,0,5,74,4,3,63,13.83333333,77,18,외,3800,5800,0.31988,0.34603,0.66592,0.23046,0.26984,0.62705,28.53003,1.05667,35.668,0.09206,1.85714,0.84139,0.3278,0.71528
김성욱,333,287,36,38,66,16,1,9,6,4,9,5,29,1,3,69,4,2,58,14.16666667,64,19,외,13000,12000,0.30247,0.38676,0.68923,0.2328,0.3554,0.65066,26.32813,0.97512,36.398,0.15679,7.2,0.95659,0.26636,0.68147
이지영,331,308,39,40,87,5,1,1,5,1,6,1,15,1,1,28,14,3,54,20.33333333,91,28,포,21000,30000,0.31692,0.31494,0.63186,0.22135,0.11688,0.5,27.11408,1.00423,27.326,0.03247,1.66667,0.82313,0.30714,0.6941
최주환,325,285,47,27,79,13,0,4,0,0,0,11,28,0,1,35,10,3,51,16.33333333,89,25,내,38500,27000,0.33231,0.36491,0.69722,0.24077,0.24561,0.61574,32.12347,1.18976,37.53,0.08772,0,0.90157,0.29183,0.76105
류지혁,316,276,34,36,69,6,2,0,18,5,6,3,24,0,7,40,6,11,71,13.5,76,20,내,12500,10500,0.32258,0.28623,0.60881,0.21672,0.19928,0.58716,25.20462,0.9335,29.26,0.03623,0,0.89376,0.2887,0.66224
강로한,306,288,25,38,69,15,6,4,7,1,1,1,13,0,3,107,3,20,50,10.33333333,58,16,내,2900,5300,0.27869,0.375,0.65369,0.21916,0.28819,0.58744,18.35658,0.67987,29.914,0.13542,5.09091,0.93995,0.36517,0.5098
정근우,305,277,30,37,77,10,1,3,8,5,3,1,20,1,4,43,11,6,60,14.5,61,22,내,70000,35000,0.33444,0.35379,0.68823,0.23894,0.20939,0.60185,26.81049,0.99298,30.046,0.07581,4.36364,0.94017,0.31897,0.6893
한승택,288,251,27,22,56,9,1,3,1,0,7,2,27,1,1,82,8,5,48,14.16666667,68,20,포,6000,8000,0.29893,0.30279,0.60172,0.21022,0.24303,0.51724,13.62514,0.50463,22.804,0.07968,1.5,1.01559,0.31548,0.36426
이원재,285,256,36,31,66,11,0,8,1,2,5,3,20,0,1,47,5,4,49,13.16666667,68,19,내,5000,7100,0.31071,0.39453,0.70525,0.23845,0.28516,0.62437,25.8741,0.9583,31.604,0.13672,1.77778,1.04811,0.28431,0.67387
최영진,275,251,20,29,63,15,1,5,4,1,8,0,14,2,2,47,4,8,59,7.666666667,57,13,내,5300,8000,0.29588,0.37849,0.67437,0.22777,0.27888,0.59585,22.50346,0.83346,27.244,0.12749,4.44444,1.08456,0.29146,0.60983
이상호,256,234,12,30,65,7,0,0,10,5,8,3,9,0,2,22,10,5,42,4.5,39,7,내,8000,10000,0.30645,0.30769,0.61414,0.21483,0.11966,0.50543,18.71296,0.69307,20.324,0.02991,0,1.06614,0.30233,0.51941
최원준,255,232,18,33,46,11,3,1,8,4,2,1,16,0,4,51,4,6,43,8.083333333,56,13,내,10000,7000,0.26087,0.28448,0.54535,0.18851,0.23707,0.48454,10.49342,0.38865,16.762,0.08621,1.77778,1.09857,0.24862,0.25365
김규민,250,222,24,33,55,8,1,3,2,4,0,2,22,0,4,68,4,1,50,9.75,66,14,외,5800,5400,0.324,0.33333,0.65733,0.22913,0.22973,0.58286,16.80531,0.62242,24.226,0.08559,2.4,1.12997,0.33987,0.46571
나주환,245,225,20,14,50,9,0,3,1,2,4,1,12,0,3,54,6,1,36,7.25,53,12,내,32000,12000,0.26971,0.30222,0.57193,0.19692,0.18222,0.45902,10.54514,0.39056,16.568,0.08,1.5,1.1459,0.27811,0.25551
박승욱,245,223,15,24,52,3,4,3,4,1,6,0,14,0,2,50,5,5,44,6.833333333,45,8,내,6600,8000,0.28452,0.32287,0.60739,0.20875,0.21076,0.51977,15.37188,0.56933,20.08,0.08969,3.42857,1.12603,0.28824,0.42173
오윤석,228,198,21,21,44,2,0,1,0,0,4,4,20,1,2,43,4,5,47,10.83333333,55,16,내,3000,4000,0.29464,0.24747,0.54212,0.19446,0.14141,0.44937,11.54131,0.42746,16.726,0.02525,0,1.19737,0.27215,0.29134
정훈,222,190,17,26,43,4,1,2,4,3,3,1,23,1,5,47,4,4,43,7.5,51,9,외,8000,6400,0.3242,0.28947,0.61367,0.21826,0.22632,0.56494,14.27915,0.52886,19.394,0.06316,2.66667,1.26581,0.28873,0.38624
박용택,215,195,22,19,55,9,0,1,3,1,0,2,18,1,0,30,3,0,42,6.916666667,59,13,외,80000,80000,0.33953,0.34359,0.68312,0.23869,0.21538,0.61111,21.13756,0.78287,23.46,0.06154,1.5,1.2765,0.3253,0.57965
김동엽,211,195,25,15,42,4,1,6,2,1,0,2,12,0,2,47,2,1,38,7.833333333,46,11,외,18500,13500,0.2654,0.33846,0.60386,0.20405,0.24615,0.52564,12.55125,0.46486,18.714,0.12308,3,1.30536,0.25,0.32715
조용호,211,188,19,15,55,6,3,0,3,4,2,0,21,0,0,28,0,0,52,13.91666667,62,19,외,4000,7000,0.36364,0.35638,0.72002,0.25273,0.21809,0.66423,23.70291,0.87789,24.726,0.06383,0,1.2916,0.34375,0.63424
김용의,210,179,17,35,39,5,3,0,8,3,4,1,24,1,2,38,1,5,45,10,48,12,내,8500,10500,0.31553,0.27933,0.59486,0.21182,0.26816,0.58333,14.52884,0.53811,18.706,0.06145,0,1.32431,0.27465,0.39449
나종덕,209,185,13,12,23,4,0,3,0,0,7,2,9,0,6,88,5,5,26,1.999999999,41,4,포,4300,4300,0.18812,0.19459,0.38271,0.1333,0.15676,0.30539,-7.19204,-0.26637,4.186,0.07027,0,1.33588,0.20833,0.13767
한동희,207,187,9,12,38,9,0,2,1,0,0,2,18,0,0,57,3,9,41,2.166666666,44,5,내,4900,4700,0.27053,0.28342,0.55395,0.19259,0.24064,0.47368,7.86852,0.29143,14.924,0.08021,1.33333,1.33331,0.27692,0.16043
오재원,204,177,18,30,29,8,1,3,6,2,2,0,25,0,0,50,3,7,35,8.5,52,11,내,55000,30000,0.26733,0.27119,0.53851,0.18809,0.33898,0.51634,7.09286,0.2627,13.81,0.10734,4,1.39441,0.20968,0.1344
박계범,204,168,25,26,43,8,1,4,5,1,6,3,22,0,5,45,7,9,41,6.5,47,12,내,3000,5500,0.35354,0.3869,0.74044,0.25582,0.3631,0.72932,18.87205,0.69896,24.47,0.13095,4.44444,1.44116,0.31967,0.52363
유민상,202,175,26,23,51,15,0,5,0,0,0,0,24,0,3,35,6,3,38,10.33333333,44,15,내,4300,6000,0.38614,0.46286,0.849,0.28948,0.42286,0.83077,26.06741,0.96546,29.02,0.17143,0,1.46732,0.34074,0.67713
노시환,192,177,13,19,33,8,1,1,2,2,1,1,11,0,2,72,3,7,37,6.833333333,44,9,내,2700,3300,0.24084,0.25989,0.50072,0.17335,0.19209,0.4094,1.16982,0.04333,9.644,0.07345,1.33333,1.40942,0.30476,0.00421
채태인,182,167,29,11,42,11,0,5,0,0,0,2,11,1,2,45,5,1,31,8.666666667,51,13,내,20000,10000,0.3022,0.40719,0.70938,0.23779,0.31737,0.62308,14.20416,0.52608,19.73,0.15569,0,1.55193,0.31092,0.38374
윤석민,178,169,17,4,39,4,0,2,0,0,0,2,7,0,0,24,4,5,35,6.833333333,51,11,내,24000,18000,0.25843,0.28994,0.54837,0.18878,0.13609,0.41791,9.30919,0.34478,12.008,0.05917,0,1.47192,0.25517,0.21103
지석훈,169,149,15,15,34,9,0,2,0,1,2,2,10,1,6,37,6,5,28,4.333333333,40,6,내,15000,12500,0.2994,0.32886,0.62826,0.21695,0.2349,0.53279,9.24942,0.34257,13.844,0.10067,0,1.65137,0.28571,0.20889
이우성,168,151,22,19,33,4,0,6,0,0,1,2,12,0,2,40,3,1,23,9.5,46,11,외,4000,4000,0.28144,0.36424,0.64568,0.21771,0.29139,0.57025,11.04339,0.40901,16.51,0.1457,0,1.64929,0.25234,0.27347
허일,162,149,17,14,38,4,0,1,2,1,0,0,12,0,1,28,1,1,40,11.75,48,14,외,3000,4100,0.31481,0.30201,0.61683,0.21717,0.16779,0.53097,12.49533,0.46279,14.696,0.04698,1.33333,1.62984,0.30833,0.32518
김찬형,154,141,12,16,39,4,2,1,3,4,2,1,6,0,4,21,1,3,39,4.5,35,5,내,4300,5800,0.32237,0.35461,0.67698,0.23372,0.16312,0.58879,14.18193,0.52526,15.792,0.07801,1.5,1.72412,0.31667,0.383
나지완,153,129,17,12,24,5,0,6,0,0,0,2,19,1,3,37,3,0,24,2.833333333,36,5,외,60000,60000,0.30065,0.36434,0.66499,0.22638,0.41085,0.63889,10.27258,0.38047,16.014,0.17829,0,1.85243,0.20455,0.24568
최항,147,127,14,12,29,5,0,0,2,0,1,1,16,0,2,24,3,3,19,6.333333333,36,9,내,11000,7500,0.32192,0.26772,0.58963,0.21179,0.22047,0.53465,9.87557,0.36576,12.368,0.03937,0,1.82644,0.27885,0.23136
김민하,140,125,14,14,32,6,0,2,5,2,2,1,9,0,3,41,4,2,30,7.5,30,8,외,3900,4500,0.31884,0.352,0.67084,0.23148,0.256,0.61616,9.2384,0.34216,13.812,0.096,2.85714,1.94284,0.36145,0.2085
