Name,RBI,RUN,HIT,Money_19,Money_20
박찬호,0.997,1.316,1.538,-0.446,-0.268
김용의,-0.222,0.379,-0.215,-0.323,-0.268
오선진,0.502,0.454,0.718,-0.352,-0.268
이상호,-0.412,0.191,0.28,-0.337,-0.281
김혜성,0.349,1.204,0.871,-0.366,-0.281
채태인,0.235,-0.521,-0.158,0.006,-0.281
오태곤,0.464,1.429,0.718,-0.337,-0.295
김민혁,0.349,1.616,1.538,-0.455,-0.309
김태진,0.883,0.716,1.004,-0.472,-0.309
이학주,0.502,0.679,0.966,-0.489,-0.309
김민식,-0.336,-0.709,-0.654,-0.166,-0.315
임병욱,0.692,0.529,0.795,-0.28,-0.315
이창진,0.959,1.204,1.099,-0.478,-0.323
최영진,-0.108,0.154,0.242,-0.415,-0.337
박승욱,-0.298,-0.034,0.032,-0.377,-0.337
한승택,0.159,-0.109,0.109,-0.395,-0.337
김준완,-0.831,-0.934,-0.882,-0.337,-0.337
이성우,-0.641,-0.859,-0.768,-0.366,-0.337
강경학,-0.412,-0.146,-0.444,-0.315,-0.342
최항,-0.336,-0.484,-0.406,-0.252,-0.351
장영석,1.492,0.604,0.795,-0.415,-0.351
이원재,0.502,0.229,0.299,-0.423,-0.362
양성우,-0.641,-0.521,-0.577,-0.323,-0.364
이흥련,-0.679,-0.821,-0.711,-0.309,-0.364
조용호,-0.146,-0.371,0.09,-0.452,-0.364
김성훈,-0.679,-0.409,-0.692,-0.366,-0.364
최원준,-0.184,0.304,-0.082,-0.28,-0.364
정상호,-0.793,-0.896,-0.92,0.864,-0.364
허도환,-0.641,-0.821,-0.768,-0.395,-0.378
김회성,-0.184,-0.671,-0.501,-0.38,-0.378
정훈,-0.222,0.041,-0.139,-0.337,-0.381
유민상,0.121,-0.071,0.013,-0.443,-0.392
장진혁,0.045,0.641,0.566,-0.458,-0.398
김찬형,-0.412,-0.334,-0.215,-0.443,-0.398
지성준,-0.45,-0.671,-0.463,-0.403,-0.4
김재현,-0.793,0.154,-0.73,-0.406,-0.403
이해창,-0.869,-0.934,-0.863,-0.392,-0.406
박계범,0.083,0.041,-0.139,-0.48,-0.406
김재현,-0.869,-0.896,-0.958,-0.366,-0.406
정범모,-0.717,-0.784,-0.787,-0.372,-0.406
김규민,0.045,0.304,0.09,-0.4,-0.409
백창수,-0.755,-0.784,-0.768,-0.395,-0.411
강로한,0.083,0.491,0.356,-0.483,-0.411
박찬도,-0.793,-0.559,-0.787,-0.409,-0.42
황윤호,-0.527,-0.596,-0.253,-0.452,-0.42
김인태,-0.603,-0.709,-0.692,-0.452,-0.42
고장혁,-0.755,-0.859,-0.825,-0.423,-0.42
신민재,-0.679,0.004,-0.596,-0.489,-0.42
김형준,-0.527,-0.446,-0.501,-0.475,-0.42
김도환,-0.603,-0.671,-0.596,-0.489,-0.42
이병규,-0.869,-0.896,-0.901,-0.295,-0.42
김문호,-0.717,-0.709,-0.482,-0.337,-0.42
전민수,-0.565,-0.634,-0.52,-0.452,-0.42
신성현,-0.641,-0.596,-0.806,-0.423,-0.425
배정대,-0.641,-0.371,-0.673,-0.458,-0.425
김종민,-0.831,-0.859,-0.882,-0.415,-0.425
송민섭,-0.717,-0.034,-0.654,-0.472,-0.428
한동희,-0.527,-0.484,-0.234,-0.426,-0.428
유재신,-0.641,-0.296,-0.711,-0.403,-0.428
정진기,-0.793,-0.896,-0.901,-0.332,-0.431
김동한,-0.793,-0.596,-0.539,-0.423,-0.434
김민하,-0.336,-0.409,-0.349,-0.455,-0.434
백승민,-0.717,-0.784,-0.768,-0.46,-0.434
박준태,-0.717,-0.446,-0.825,-0.366,-0.434
문선재,-0.641,-0.671,-0.806,-0.38,-0.434
국해성,-0.793,-0.859,-0.844,-0.423,-0.434
박정음,-0.603,-0.446,-0.692,-0.438,-0.439
김민수,-0.793,-0.746,-0.806,-0.472,-0.439
이성규,-0.603,-0.821,-0.749,-0.472,-0.439
나종덕,-0.374,-0.484,-0.52,-0.443,-0.439
허일,-0.222,-0.409,-0.234,-0.48,-0.445
이우성,-0.032,-0.221,-0.33,-0.452,-0.447
문상철,-0.603,-0.634,-0.73,-0.478,-0.447
김호재,-0.869,-0.896,-0.825,-0.48,-0.447
송준석,-0.717,-0.709,-0.73,-0.483,-0.447
오윤석,-0.07,-0.146,-0.12,-0.48,-0.447
강민국,-0.603,-0.484,-0.501,-0.489,-0.447
박지규,-0.831,-0.859,-0.939,-0.438,-0.447
주효상,-0.679,-0.821,-0.844,-0.438,-0.447
공민규,-0.641,-0.784,-0.711,-0.489,-0.447
구본혁,-0.641,-0.559,-0.673,-0.489,-0.447
최승준,-0.869,-0.859,-0.863,-0.423,-0.447
백용환,-0.641,-0.821,-0.749,-0.438,-0.447
김준태,-0.565,-0.559,-0.692,-0.44,-0.453
강진성,-0.336,-0.521,-0.501,-0.475,-0.453
장운호,-0.869,-0.859,-0.939,-0.429,-0.453
최선호,-0.869,-0.896,-0.939,-0.443,-0.453
홍창기,-0.869,-0.821,-0.844,-0.466,-0.453
고승민,-0.641,-0.671,-0.558,-0.489,-0.453
이준수,-0.755,-0.821,-0.825,-0.478,-0.453
안승한,-0.679,-0.784,-0.844,-0.489,-0.456
김웅빈,-0.755,-0.896,-0.901,-0.46,-0.456
백동훈,-0.793,-0.634,-0.806,-0.469,-0.458
최정용,-0.831,-0.784,-0.844,-0.463,-0.458
양종민,-0.679,-0.896,-0.844,-0.48,-0.458
최정민,-0.869,-0.934,-0.958,-0.438,-0.461
장승현,-0.755,-0.821,-0.825,-0.48,-0.461
이성곤,-0.869,-0.896,-0.863,-0.475,-0.461
허정협,-0.565,-0.821,-0.654,-0.452,-0.461
백승현,-0.869,-0.896,-0.863,-0.478,-0.464
이진영,-0.793,-0.896,-0.92,-0.469,-0.464
김영환,-0.869,-0.896,-0.939,-0.48,-0.467
이동훈,-0.717,-0.821,-0.787,-0.466,-0.467
노시환,-0.374,-0.221,-0.33,-0.489,-0.467
김응민,-0.869,-0.934,-0.901,-0.483,-0.469
윤수강,-0.869,-0.934,-0.939,-0.475,-0.469
류형우,-0.831,-0.859,-0.92,-0.489,-0.469
배성근,-0.793,-0.784,-0.787,-0.489,-0.469
서예일,-0.869,-0.934,-0.958,-0.478,-0.469
이유찬,-0.831,-0.709,-0.901,-0.483,-0.469
박승규,-0.793,-0.859,-0.882,-0.489,-0.469
유장혁,-0.717,-0.559,-0.787,-0.489,-0.469
김재성,-0.831,-0.934,-0.939,-0.483,-0.472
최준우,-0.869,-0.821,-0.825,-0.483,-0.472
오준혁,-0.869,-0.896,-0.958,-0.46,-0.475
정현,-0.793,-0.821,-0.901,-0.415,-0.475
박한결,-0.869,-0.934,-0.92,-0.489,-0.475
김병희,-0.869,-0.934,-0.939,-0.486,-0.475
황대인,-0.869,-0.934,-0.863,-0.475,-0.475
이현석,-0.869,-0.934,-0.958,-0.486,-0.475
최승민,-0.831,-0.746,-0.882,-0.489,-0.475
남태혁,-0.831,-0.896,-0.863,-0.472,-0.475
김민수,-0.831,-0.934,-0.806,-0.489,-0.475
이정훈,-0.755,-0.934,-0.882,-0.48,-0.475
오선우,-0.717,-0.746,-0.806,-0.489,-0.475
변우혁,-0.793,-0.671,-0.73,-0.489,-0.475
채현우,-0.869,-0.859,-0.958,-0.489,-0.475
김창평,-0.755,-0.784,-0.806,-0.489,-0.475
이현동,-0.869,-0.934,-0.958,-0.483,-0.478
김경호,-0.793,-0.784,-0.863,-0.489,-0.478
김은성,-0.869,-0.896,-0.939,-0.489,-0.478
전병우,-0.869,-0.859,-0.863,-0.452,-0.478
정보근,-0.831,-0.821,-0.882,-0.489,-0.478
한준수,-0.793,-0.859,-0.844,-0.489,-0.478
오영수,-0.869,-0.934,-0.939,-0.48,-0.478
박민석,-0.869,-0.934,-0.958,-0.489,-0.478
신용수,-0.793,-0.784,-0.92,-0.489,-0.478
최민재,-0.869,-0.934,-0.958,-0.486,-0.481
유영준,-0.869,-0.934,-0.958,-0.489,-0.481
박상언,-0.869,-0.934,-0.958,-0.486,-0.481
송승환,-0.869,-0.934,-0.958,-0.489,-0.481
김태근,-0.869,-0.859,-0.958,-0.489,-0.481
김대한,-0.869,-0.784,-0.958,-0.489,-0.481
임지열,-0.755,-0.934,-0.92,-0.489,-0.483
추재현,-0.869,-0.934,-0.958,-0.489,-0.483
김주형,-0.869,-0.934,-0.958,-0.489,-0.483
양우현,-0.869,-0.934,-0.958,-0.489,-0.483
김성민,-0.869,-0.934,-0.939,-0.489,-0.483
