선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,타율,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP
정진기,NC,86,199,186,43,29,8,0,6,27,21,10,0,1,37,0,2,2,6,3,0.231,0.274111675,0.370967742,0.645079417,0.216092189,0.284946237,0.581081081,14.32509023,0.530558897,18.934,0.139784946,6,0.948030457,0.198386119,0.258741259
정진호,한화,47,167,145,33,24,9,0,0,9,15,15,1,1,22,2,6,5,4,1,0.228,0.300613497,0.289655172,0.590268669,0.207689867,0.248275862,0.525423729,10.31148613,0.381906894,13.104,0.062068966,0,1.043648148,0.113656878,0.264
정훈,롯데,135,561,486,142,100,27,1,14,70,79,68,8,3,89,3,4,6,8,1,0.292,0.380357143,0.438271605,0.818628748,0.280728616,0.386831276,0.831908832,74.76742159,2.769163763,82.558,0.146090535,10.18181818,0.638443841,0.870831141,0.331606218
조용호,KT,138,515,428,101,86,14,1,0,71,48,74,0,3,85,5,10,8,12,9,0.236,0.349019608,0.273364486,0.622384094,0.225399945,0.252336449,0.598837209,39.31346068,1.456054099,48.76,0.037383178,0,0.546913725,0.650831691,0.290229885
조한민,한화,52,145,127,25,12,6,2,5,15,18,13,0,2,57,2,3,4,3,2,0.197,0.277777778,0.393700787,0.671478565,0.223425197,0.409448819,0.62962963,6.519976417,0.241480608,14.344,0.196850394,3.75,1.172180556,0.048767453,0.298507463
지시완,롯데,73,187,166,40,24,9,0,7,23,26,14,0,5,54,0,2,6,0,0,0.241,0.318918919,0.421686747,0.740605666,0.2489352,0.361445783,0.674242424,14.8328492,0.549364785,21.108,0.180722892,0,1.044043243,0.209697724,0.314285714
채은성,LG,110,448,387,107,71,20,0,16,59,82,38,2,16,80,7,7,9,4,2,0.276,0.359375,0.452196382,0.811571382,0.274767846,0.372093023,0.800687285,54.63221538,2.023415385,64.9,0.175710594,6.4,0.693587444,0.782587714,0.305369128
최원준,KIA,143,668,589,174,144,21,5,4,82,44,61,0,11,68,3,7,7,40,12,0.295,0.370481928,0.368421053,0.73890298,0.258822131,0.275042445,0.758064516,83.34966816,3.087024747,86.826,0.073005093,7.272727273,0.539731928,0.893371561,0.326923077
최인호,한화,49,164,136,28,18,6,0,4,17,23,24,0,2,43,2,2,1,2,1,0.206,0.329268293,0.338235294,0.667503587,0.232729555,0.389705882,0.672727273,12.37077697,0.458176925,18.346,0.132352941,2.666666667,1.078743902,0.155807017,0.263736264
최재훈,한화,116,467,375,103,75,21,0,7,52,44,72,2,12,68,3,8,16,3,2,0.275,0.404761905,0.386666667,0.791428571,0.278809524,0.381333333,0.8,55.15545414,2.042794598,61.466,0.112,4.2,0.670386957,0.785813833,0.316831683
최정,SSG,134,555,436,121,68,17,1,35,92,100,84,3,22,102,12,13,9,8,6,0.278,0.409747292,0.561926606,0.971673898,0.324867933,0.603211009,1.087878788,89.20278597,3.303806888,105.434,0.28440367,13.02325581,0.71484755,0.90562829,0.276527331
최정원,NC,72,238,212,60,54,4,2,0,40,8,18,0,4,40,0,4,0,9,8,0.283,0.35042735,0.320754717,0.671182067,0.237880987,0.155660377,0.61875,22.04982969,0.816660359,24.66,0.037735849,0,0.819068376,0.369624701,0.348837209
최주환,SSG,116,470,406,104,70,16,0,18,50,67,53,4,9,84,2,2,7,2,1,0.256,0.353191489,0.428571429,0.781762918,0.266079027,0.389162562,0.767741935,53.81150226,1.993018602,63.578,0.172413793,3.6,0.664603004,0.777392898,0.281045752
최지훈,SSG,136,534,461,121,91,19,6,5,75,46,51,0,8,71,6,14,6,26,6,0.262,0.342205323,0.362255965,0.704461288,0.244556387,0.318872017,0.715909091,57.0045284,2.111278829,64.832,0.09978308,8.387096774,0.573420152,0.796704698,0.296675192
최형우,KIA,104,446,373,87,59,15,1,12,52,55,67,10,4,67,2,2,9,0,0,0.233,0.35426009,0.375335121,0.72959521,0.253250821,0.396782842,0.715254237,45.05485729,1.668698418,53.074,0.142091153,0,0.647591743,0.709987771,0.253378378
추신수,SSG,137,580,461,122,80,19,2,21,84,69,103,4,12,123,4,4,8,25,9,0.265,0.40862069,0.451193059,0.859813748,0.296677575,0.535791757,0.97752809,78.39848737,2.90364768,93.546,0.186550976,22.82608696,0.646928819,0.88112975,0.314641745
추재현,롯데,95,300,262,66,46,15,0,5,37,26,26,0,7,57,0,5,3,4,3,0.252,0.33559322,0.366412214,0.702005434,0.242620003,0.29389313,0.658415842,27.18100889,1.006704033,32.974,0.114503817,4.444444444,0.777898305,0.471182002,0.305
크레익,Hero,61,247,222,55,37,12,0,6,25,30,20,1,4,43,1,1,4,0,1,0.248,0.319838057,0.382882883,0.70272094,0.239647846,0.301801802,0.63372093,22.27497258,0.824998984,27.086,0.135135135,0,0.857581301,0.374371188,0.281609195
터커,KIA,127,539,468,111,77,24,1,9,42,59,61,1,8,66,2,2,12,0,0,0.237,0.333951763,0.35042735,0.684379113,0.237885131,0.316239316,0.631436314,49.80511054,1.844633724,56.872,0.113247863,0,0.583373606,0.749471998,0.258227848
페레즈,한화,59,252,224,60,39,15,1,5,26,33,17,0,4,52,7,7,4,4,5,0.268,0.321428571,0.410714286,0.732142857,0.247321429,0.308035714,0.676300578,23.40434903,0.866827742,31.014,0.142857143,4.444444444,0.856194444,0.397811267,0.316091954
페르난데스,두산,141,617,540,170,131,24,0,15,73,81,65,3,6,35,6,6,25,0,2,0.315,0.390599676,0.442592593,0.833192268,0.286418002,0.316666667,0.780856423,86.92097072,3.219295212,87.24,0.127777778,0,0.61763355,0.901104875,0.3125
프레이타스,Hero,43,148,139,36,24,10,0,2,13,14,7,0,1,29,1,1,7,0,0,0.259,0.297297297,0.374100719,0.671398017,0.227308964,0.251798561,0.545454545,10.10526055,0.374268909,13.118,0.115107914,0,1.165385135,0.109649658,0.311926606
피렐라,삼성,140,621,553,158,102,25,2,29,102,97,57,2,8,89,3,3,8,9,6,0.286,0.359098229,0.495479204,0.854577433,0.285464004,0.419529837,0.850855746,86.65881695,3.209585813,96.468,0.209764919,13.73684211,0.640253635,0.900565216,0.294520548
하주석,한화,138,594,525,143,103,27,3,10,84,68,51,1,10,135,3,8,9,23,6,0.272,0.346349745,0.392380952,0.738730698,0.253952623,0.325714286,0.730478589,60.04428576,2.223862436,73.97,0.12,13.93939394,0.58322619,0.813016014,0.347258486
한동희,롯데,129,496,424,113,72,24,0,17,54,69,61,1,6,95,4,5,21,0,1,0.267,0.363636364,0.443396226,0.80703259,0.27448542,0.41509434,0.765765766,54.13124533,2.004860938,65.29,0.176886792,0,0.670597166,0.779436604,0.303797468
한승택,KIA,82,239,203,44,34,7,0,3,17,16,28,0,3,61,0,4,6,0,0,0.217,0.320512821,0.295566502,0.616079323,0.218122395,0.266009852,0.551515152,13.4948112,0.499807822,20.042,0.078817734,0,0.82825641,0.180076921,0.294964029
한유섬,SSG,135,519,442,123,73,18,1,31,71,95,60,4,10,96,6,7,11,1,0,0.278,0.372586873,0.533936652,0.906523524,0.301148256,0.50678733,0.93030303,74.94820444,2.775859424,87.712,0.255656109,1.9375,0.705289883,0.871373472,0.286604361
허경민,두산,136,518,468,130,100,24,1,5,61,59,36,1,8,35,3,6,21,5,7,0.278,0.337864078,0.365384615,0.703248693,0.243384989,0.224358974,0.601092896,50.19747989,1.859165922,51.93,0.087606838,5,0.593459144,0.752407293,0.290023202
호잉,KT,68,294,259,62,39,11,1,11,32,52,26,2,4,52,5,5,2,5,2,0.239,0.31292517,0.416988417,0.729913587,0.245063431,0.378378378,0.711442786,29.73389223,1.101255268,37.744,0.177606178,6.875,0.787828767,0.516029044,0.253731343
홍창기,LG,144,651,524,172,140,26,2,4,103,52,109,4,16,95,2,2,6,23,8,0.328,0.456221198,0.408396947,0.864618145,0.307398776,0.377862595,0.989071038,102.3153573,3.789457677,106.44,0.080152672,6.814814815,0.613506955,0.926605753,0.393442623
황대인,KIA,86,308,282,67,43,10,1,13,30,45,18,0,2,62,5,6,8,0,0,0.238,0.283387622,0.418439716,0.701827338,0.232134359,0.329787234,0.618834081,25.44659191,0.942466367,34.544,0.180851064,0,0.755423453,0.438494746,0.254716981
황재균,KT,117,507,453,132,104,16,2,10,74,56,46,1,3,92,4,5,11,11,4,0.291,0.35770751,0.401766004,0.759473514,0.261409881,0.289183223,0.720238095,57.01676799,2.111732148,65.254,0.110375276,10.47619048,0.614877228,0.796774234,0.343661972
힐리,한화,67,268,249,64,45,11,1,7,27,37,16,0,2,58,1,1,6,2,1,0.257,0.305970149,0.393574297,0.699544446,0.236080141,0.281124498,0.614583333,22.60605527,0.837261306,28.776,0.136546185,3.111111111,0.807216418,0.381307714,0.308108108
