Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_19,Money_20
김준태,104.0,88.0,8.0,10.0,14.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,2.0,23.0,1.0,2.0,15.0,4.333333333000001,27.0,6.0,포,4400,3800
하주석,20.0,19.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,1.5,6.0,2.0,내,18000,14000
양성우,129.0,119.0,6.0,11.0,20.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,28.0,2.0,0.0,17.0,3.5,28.0,4.0,외,8500,7000
박승욱,245.0,223.0,15.0,24.0,52.0,3.0,4.0,3.0,4.0,1.0,6.0,0.0,14.0,0.0,2.0,50.0,5.0,5.0,44.0,6.833333333,45.0,8.0,내,6600,8000
김민식,116.0,96.0,14.0,6.0,16.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,15.0,0.0,3.0,29.0,1.0,3.0,26.0,2.0,24.0,4.0,포,14000,8800
최항,147.0,127.0,14.0,12.0,29.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,16.0,0.0,2.0,24.0,3.0,3.0,19.0,6.333333333000001,36.0,9.0,내,11000,7500
최정민,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,내,4500,3500
한동민,502.0,427.0,52.0,52.0,113.0,20.0,0.0,12.0,0.0,1.0,0.0,0.0,55.0,4.0,20.0,100.0,6.0,4.0,100.0,17.5,91.0,24.0,외,33000,25000
박민우,526.0,468.0,45.0,89.0,161.0,23.0,8.0,1.0,18.0,7.0,2.0,6.0,41.0,1.0,9.0,40.0,10.0,9.0,100.0,25.833333333,96.0,32.0,내,38000,52000
황윤호,130.0,123.0,9.0,9.0,37.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,0.0,0.0,12.0,2.0,6.0,27.0,5.0,33.0,6.0,내,4000,5000
강진성,104.0,97.0,14.0,11.0,24.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,4.0,20.0,6.0,1.0,21.0,5.0,29.0,6.0,외,3200,3800
노진혁,390.0,348.0,43.0,51.0,92.0,23.0,2.0,13.0,0.0,1.0,6.0,3.0,31.0,2.0,2.0,80.0,7.0,5.0,59.0,14.583333333,79.0,19.0,내,10000,14000
김성욱,333.0,287.0,36.0,38.0,66.0,16.0,1.0,9.0,6.0,4.0,9.0,5.0,29.0,1.0,3.0,69.0,4.0,2.0,58.0,14.166666667,64.0,19.0,외,13000,12000
나성범,106.0,93.0,14.0,19.0,34.0,12.0,1.0,4.0,2.0,1.0,0.0,0.0,12.0,0.0,1.0,26.0,2.0,0.0,23.0,4.333333333000001,25.0,7.0,외,55000,50000
장승현,46.0,41.0,3.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,13.0,0.0,0.0,9.0,0.0,6.0,0.0,포,3000,3500
김인태,70.0,60.0,7.0,6.0,14.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,12.0,2.0,0.0,16.0,1.333333333,20.0,2.0,외,4000,5000
이우성,168.0,151.0,22.0,19.0,33.0,4.0,0.0,6.0,0.0,0.0,1.0,2.0,12.0,0.0,2.0,40.0,3.0,1.0,23.0,9.5,46.0,11.0,외,4000,4000
이흥련,44.0,42.0,5.0,3.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,1.0,0.0,11.0,2.0,9.0,2.0,포,9000,7000
김영환,15.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,내,3000,3300
정현,45.0,38.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,17.0,1.0,0.0,5.0,1.25,12.0,2.0,내,5300,3000
백동훈,52.0,47.0,2.0,8.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,16.0,0.0,0.0,10.0,1.0,12.0,1.0,외,3400,3600
고장혁,32.0,31.0,3.0,2.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,4.0,8.0,2.0,10.0,2.0,내,5000,5000
장운호,12.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,외,4800,3800
박한결,11.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,내,2700,3000
노수광,445.0,388.0,28.0,69.0,97.0,16.0,1.0,2.0,27.0,10.0,9.0,0.0,46.0,0.0,2.0,68.0,1.0,3.0,62.0,16.0,63.0,21.0,외,26500,21000
한승택,288.0,251.0,27.0,22.0,56.0,9.0,1.0,3.0,1.0,0.0,7.0,2.0,27.0,1.0,1.0,82.0,8.0,5.0,48.0,14.166666667,68.0,20.0,포,6000,8000
최민재,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,외,2800,2800
유영준,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,내,2700,2800
김준완,19.0,16.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,외,8000,8000
권희동,413.0,348.0,41.0,37.0,89.0,17.0,0.0,6.0,3.0,0.0,5.0,3.0,50.0,1.0,7.0,60.0,10.0,4.0,98.0,13.333333333,97.0,22.0,외,14000,13500
김민혁,521.0,466.0,32.0,68.0,131.0,10.0,1.0,0.0,22.0,10.0,5.0,5.0,32.0,0.0,13.0,61.0,8.0,4.0,91.0,19.666666665,109.0,28.0,외,3900,9000
심우준,433.0,391.0,28.0,54.0,109.0,13.0,1.0,3.0,24.0,3.0,12.0,1.0,23.0,0.0,6.0,68.0,7.0,11.0,103.0,12.333333332,79.0,20.0,내,8500,13000
문상철,68.0,60.0,7.0,8.0,12.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,26.0,1.0,4.0,10.0,1.833333333,17.0,3.0,내,3100,4000
안승한,47.0,44.0,5.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,13.0,1.0,2.0,3.0,1.5,18.0,2.0,포,2700,3700
송민섭,64.0,53.0,4.0,24.0,16.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,6.0,0.0,3.0,13.0,0.0,0.0,32.0,4.0,13.0,4.0,외,3300,4700
김병희,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,내,2800,3000
신성현,54.0,41.0,6.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0,14.0,0.0,2.0,13.0,1.25,16.0,3.0,내,5000,4800
류형우,12.0,11.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,3.0,1.0,내,2700,3200
배정대,84.0,74.0,6.0,15.0,15.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,0.0,1.0,23.0,2.0,1.0,12.0,4.0,19.0,5.0,외,3800,4800
김경호,27.0,26.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,1.0,8.0,1.0,외,2700,2900
이성곤,28.0,28.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,5.0,0.0,외,3200,3500
김하성,625.0,540.0,104.0,112.0,166.0,38.0,2.0,19.0,33.0,4.0,1.0,7.0,70.0,4.0,7.0,80.0,12.0,20.0,125.0,38.0,162.0,59.0,내,32000,55000
임지열,18.0,15.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,1.0,2.0,4.0,1.0,4.0,1.0,내,2700,2700
임병욱,419.0,379.0,41.0,39.0,92.0,17.0,5.0,0.0,10.0,2.0,6.0,0.0,23.0,0.0,11.0,110.0,6.0,4.0,90.0,17.666666666,101.0,27.0,외,10000,8800
김호재,33.0,32.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,5.0,0.0,6.0,0.0,내,3000,4000
백승민,45.0,42.0,4.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,12.0,2.0,1.0,9.0,3.166666667,14.0,5.0,내,3700,4500
박계범,204.0,168.0,25.0,26.0,43.0,8.0,1.0,4.0,5.0,1.0,6.0,3.0,22.0,0.0,5.0,45.0,7.0,9.0,41.0,6.499999999999999,47.0,12.0,내,3000,5500
송준석,56.0,51.0,4.0,6.0,12.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,14.0,3.0,1.0,10.0,0.333333333,16.0,1.0,외,2900,4000
최선호,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,외,4300,3800
김재현,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,내,7000,5500
배성근,48.0,44.0,2.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,3.0,16.0,2.0,11.0,2.0,내,2700,3200
오윤석,228.0,198.0,21.0,21.0,44.0,2.0,0.0,1.0,0.0,0.0,4.0,4.0,20.0,1.0,2.0,43.0,4.0,5.0,47.0,10.833333333,55.0,16.0,내,3000,4000
이창진,470.0,400.0,48.0,57.0,108.0,25.0,1.0,6.0,8.0,8.0,4.0,5.0,57.0,0.0,4.0,92.0,8.0,5.0,92.0,17.333333333,101.0,27.0,내,3100,8500
박찬호,541.0,504.0,49.0,60.0,131.0,15.0,4.0,2.0,39.0,6.0,5.0,2.0,26.0,0.0,4.0,83.0,8.0,16.0,93.0,23.249999999,130.0,40.0,내,4200,10500
박준태,47.0,41.0,4.0,13.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,15.0,1.0,0.0,9.0,0.5,11.0,1.0,외,7000,4500
지성준,109.0,104.0,11.0,7.0,26.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,3.0,0.0,19.0,4.833333333000001,31.0,7.0,포,5700,5700
김민수,41.0,39.0,2.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,4.0,0.5,10.0,1.0,포,3300,4300
조용호,211.0,188.0,19.0,15.0,55.0,6.0,3.0,0.0,3.0,4.0,2.0,0.0,21.0,0.0,0.0,28.0,0.0,0.0,52.0,13.916666667,62.0,19.0,외,4000,7000
강민국,94.0,88.0,7.0,12.0,24.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,17.0,2.0,9.0,18.0,5.333333333000001,27.0,7.0,내,2700,4000
김태진,399.0,374.0,46.0,44.0,103.0,14.0,5.0,5.0,12.0,4.0,5.0,3.0,16.0,0.0,1.0,67.0,3.0,3.0,76.0,20.5,98.0,29.0,내,3300,9000
백승현,30.0,30.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,5.0,0.0,10.0,0.0,내,3100,3400
김재성,7.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.5,3.0,1.0,포,2900,3100
박지규,18.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,7.0,0.0,1.0,5.0,0.0,2.0,0.0,내,4500,4000
신민재,94.0,81.0,5.0,25.0,19.0,3.0,0.0,0.0,10.0,8.0,1.0,1.0,8.0,0.0,3.0,17.0,0.0,0.0,34.0,3.5,19.0,4.0,내,2700,5000
김은성,10.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,내,2700,2900
허정협,77.0,68.0,8.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,19.0,1.0,0.0,13.0,5.5,20.0,6.0,외,4000,3500
최정용,21.0,21.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,3.0,1.0,4.0,1.0,내,3600,3600
강로한,306.0,288.0,25.0,38.0,69.0,15.0,6.0,4.0,7.0,1.0,1.0,1.0,13.0,0.0,3.0,107.0,3.0,20.0,50.0,10.333333333,58.0,16.0,내,2900,5300
전병우,55.0,51.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,22.0,0.0,2.0,7.0,0.0,12.0,0.0,내,4000,2900
황대인,28.0,25.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,3.0,0.0,6.0,0.0,내,3200,3000
이현석,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,포,2800,3000
김웅빈,11.0,11.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.5,5.0,2.0,내,3700,3700
최승민,10.0,9.0,1.0,5.0,4.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,2.0,0.0,외,2700,3000
남태혁,24.0,22.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,3.0,0.5,6.0,1.0,내,3300,3000
홍창기,26.0,24.0,0.0,3.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,1.0,0.0,6.0,1.0,6.0,1.0,외,3500,3800
서예일,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내,3100,3200
주효상,30.0,29.0,5.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,4.0,2.0,10.0,2.0,포,4500,4000
이성규,46.0,43.0,7.0,3.0,11.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,16.0,1.0,3.0,7.0,1.25,10.0,3.0,내,3300,4300
김성훈,88.0,77.0,5.0,14.0,14.0,1.0,1.0,1.0,4.0,3.0,4.0,0.0,7.0,0.0,0.0,11.0,0.0,3.0,24.0,2.5,13.0,3.0,내,7000,7000
최원준,255.0,232.0,18.0,33.0,46.0,11.0,3.0,1.0,8.0,4.0,2.0,1.0,16.0,0.0,4.0,51.0,4.0,6.0,43.0,8.083333332999999,56.0,13.0,내,10000,7000
이진영,15.0,15.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,7.0,2.0,외,3400,3400
이동훈,31.0,31.0,4.0,3.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,6.0,2.0,13.0,3.0,외,3500,3300
장진혁,349.0,315.0,24.0,42.0,80.0,16.0,5.0,1.0,13.0,5.0,2.0,1.0,26.0,0.0,5.0,74.0,4.0,3.0,63.0,13.833333333,77.0,18.0,외,3800,5800
박상언,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,포,2800,2800
김동엽,211.0,195.0,25.0,15.0,42.0,4.0,1.0,6.0,2.0,1.0,0.0,2.0,12.0,0.0,2.0,47.0,2.0,1.0,38.0,7.833333333000001,46.0,11.0,외,18500,13500
김찬형,154.0,141.0,12.0,16.0,39.0,4.0,2.0,1.0,3.0,4.0,2.0,1.0,6.0,0.0,4.0,21.0,1.0,3.0,39.0,4.5,35.0,5.0,내,4300,5800
로하스,578.0,521.0,104.0,68.0,168.0,30.0,3.0,24.0,4.0,4.0,0.0,5.0,49.0,5.0,3.0,120.0,4.0,6.0,122.0,27.499999999,155.0,46.0,외,1000000,800000
이유찬,13.0,13.0,1.0,6.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,13.0,1.5,7.0,2.0,내,2900,3200
김혜성,387.0,348.0,32.0,57.0,96.0,16.0,7.0,0.0,20.0,3.0,4.0,4.0,29.0,1.0,2.0,85.0,4.0,15.0,71.0,16.833333333,85.0,23.0,내,7000,10000
이정후,630.0,574.0,68.0,91.0,193.0,31.0,10.0,6.0,13.0,7.0,3.0,4.0,45.0,0.0,4.0,40.0,15.0,2.0,130.0,27.666666665,137.0,42.0,외,23000,39000
김민수,37.0,34.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0,2.0,1.0,9.0,1.0,3.0,1.0,내,2700,3000
나종덕,209.0,185.0,13.0,12.0,23.0,4.0,0.0,3.0,0.0,0.0,7.0,2.0,9.0,0.0,6.0,88.0,5.0,5.0,26.0,1.999999999,41.0,4.0,포,4300,4300
이정훈,15.0,14.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.666666667,7.0,2.0,포,3000,3000
로맥,589.0,504.0,95.0,86.0,139.0,28.0,1.0,29.0,6.0,3.0,0.0,6.0,73.0,3.0,6.0,117.0,11.0,4.0,119.0,22.766666666,143.0,38.0,내,1050000,900000
강백호,505.0,438.0,65.0,72.0,147.0,29.0,1.0,13.0,9.0,5.0,0.0,4.0,61.0,4.0,2.0,87.0,11.0,3.0,103.0,21.249999998,116.0,33.0,외,12000,21000
추재현,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,외,2700,2700
공민규,60.0,53.0,6.0,4.0,13.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,18.0,0.0,2.0,13.0,0.0,15.0,0.0,내,2700,4000
정보근,35.0,32.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,2.0,0.0,3.0,1.0,6.0,1.0,포,2700,2900
한동희,207.0,187.0,9.0,12.0,38.0,9.0,0.0,2.0,1.0,0.0,0.0,2.0,18.0,0.0,0.0,57.0,3.0,9.0,41.0,2.166666666,44.0,5.0,내,4900,4700
한준수,20.0,20.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.333333333,5.0,2.0,포,2700,2900
호잉,525.0,476.0,73.0,74.0,135.0,26.0,2.0,18.0,22.0,7.0,1.0,5.0,38.0,5.0,5.0,90.0,6.0,2.0,85.0,22.666666666,126.0,33.0,외,800000,550000
정은원,624.0,564.0,57.0,83.0,148.0,27.0,6.0,8.0,14.0,7.0,6.0,6.0,48.0,0.0,0.0,101.0,6.0,13.0,106.0,18.5,112.0,27.0,내,5500,12000
최준우,36.0,33.0,0.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,6.0,0.0,5.0,0.0,내,2900,3100
오영수,8.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,내,3000,2900
김형준,119.0,107.0,9.0,13.0,24.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,24.0,1.0,1.0,22.0,3.0,41.0,5.0,포,3200,5000
박민석,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,내,2700,2900
