Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_19,Money_20,OBP,SLG,OPS
김창평,53,45,3,4,8,2,0,0,0,0,3,0,4,0,1,11,1,0,7,3.333333333,16,4,내,2700,3000,0.26,0.222222222,0.482222222
김태군,28,22,1,0,4,0,0,0,0,0,0,0,4,0,2,8,1,0,9,0.5,7,1,포,23000,20000,0.357142857,0.181818182,0.538961039
김태균,500,433,62,47,132,21,0,6,3,0,0,8,54,5,5,94,15,1,94,26.16666667,113,34,내,100000,50000,0.382,0.394919169,0.776919169
김태근,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,외,2700,2800,,,
김태진,399,374,46,44,103,14,5,5,12,4,5,3,16,0,1,67,3,3,76,20.5,98,29,내,3300,9000,0.304568528,0.379679144,0.684247672
김하성,625,540,104,112,166,38,2,19,33,4,1,7,70,4,7,80,12,20,125,38,162,59,내,32000,55000,0.389423077,0.490740741,0.880163818
김헌곤,467,411,46,57,122,20,1,5,10,8,5,6,37,1,8,41,18,0,108,22.41666667,99,31,외,15500,19000,0.361471861,0.386861314,0.748333175
김현수,595,526,82,75,160,37,0,11,3,1,0,9,54,9,6,52,11,1,128,30.41666667,146,48,외,130000,130000,0.369747899,0.437262357,0.807010257
김형준,119,107,9,13,24,5,0,2,0,0,4,0,8,0,0,24,1,1,22,3,41,5,포,3200,5000,0.27826087,0.327102804,0.605363673
김혜성,387,348,32,57,96,16,7,0,20,3,4,4,29,1,2,85,4,15,71,16.83333333,85,23,내,7000,10000,0.331592689,0.362068966,0.693661655
김호재,33,32,0,1,7,1,0,0,0,1,0,0,1,0,0,7,1,0,5,0,6,0,내,3000,4000,0.242424242,0.25,0.492424242
김회성,117,104,18,7,24,4,0,3,2,1,1,1,11,0,0,24,1,2,23,8,33,10,내,6500,6500,0.301724138,0.355769231,0.657493369
나성범,106,93,14,19,34,12,1,4,2,1,0,0,12,0,1,26,2,0,23,4.333333333,25,7,외,55000,50000,0.443396226,0.64516129,1.088557517
나종덕,209,185,13,12,23,4,0,3,0,0,7,2,9,0,6,88,5,5,26,1.999999999,41,4,포,4300,4300,0.188118812,0.194594595,0.382713406
나주환,245,225,20,14,50,9,0,3,1,2,4,1,12,0,3,54,6,1,36,7.25,53,12,내,32000,12000,0.269709544,0.302222222,0.571931766
나지완,153,129,17,12,24,5,0,6,0,0,0,2,19,1,3,37,3,0,24,2.833333333,36,5,외,60000,60000,0.300653595,0.364341085,0.66499468
남태혁,24,22,1,1,5,0,0,0,0,0,0,0,2,0,0,3,3,0,3,0.5,6,1,내,3300,3000,0.291666667,0.227272727,0.518939394
노수광,445,388,28,69,97,16,1,2,27,10,9,0,46,0,2,68,1,3,62,16,63,21,외,26500,21000,0.332568807,0.31185567,0.644424477
노시환,192,177,13,19,33,8,1,1,2,2,1,1,11,0,2,72,3,7,37,6.833333333,44,9,내,2700,3300,0.240837696,0.259887006,0.500724702
노진혁,390,348,43,51,92,23,2,13,0,1,6,3,31,2,2,80,7,5,59,14.58333333,79,19,내,10000,14000,0.325520833,0.454022989,0.779543822
류지혁,316,276,34,36,69,6,2,0,18,5,6,3,24,0,7,40,6,11,71,13.5,76,20,내,12500,10500,0.322580645,0.286231884,0.608812529
류형우,12,11,1,2,2,0,0,0,0,0,0,0,1,0,0,3,1,0,4,1,3,1,내,2700,3200,0.25,0.181818182,0.431818182
모창민,386,341,55,49,104,21,2,10,3,2,0,11,31,1,3,62,8,5,77,15.5,88,23,내,30000,30000,0.357512953,0.46627566,0.823788613
문상철,68,60,7,8,12,1,0,2,2,0,0,2,4,0,2,26,1,4,10,1.833333333,17,3,내,3100,4000,0.264705882,0.316666667,0.581372549
문선재,61,49,6,7,8,0,0,3,2,1,0,2,9,0,1,18,0,2,12,0.5,7,1,외,6500,4500,0.295081967,0.346938776,0.642020743
민병헌,420,369,43,52,112,24,2,9,13,6,1,3,42,0,5,55,9,2,82,11.51666667,83,24,외,125000,125000,0.37947494,0.452574526,0.832049466
박건우,537,458,64,83,146,27,5,10,12,3,1,11,60,0,7,57,23,3,115,23.66666667,116,33,외,38500,45000,0.39738806,0.465065502,0.862453562
박경수,490,421,65,43,104,24,0,10,0,1,4,6,55,1,4,102,14,9,94,21,121,34,내,40000,40000,0.335390947,0.375296912,0.710687859
박계범,204,168,25,26,43,8,1,4,5,1,6,3,22,0,5,45,7,9,41,6.5,47,12,내,3000,5500,0.353535354,0.386904762,0.740440115
박동원,361,317,55,50,94,15,1,10,1,0,7,1,34,0,2,56,10,1,71,21.33333333,89,30,포,9000,22500,0.367231638,0.444794953,0.812026591
박민석,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,내,2700,2900,0,0,0
박민우,526,468,45,89,161,23,8,1,18,7,2,6,41,1,9,40,10,9,100,25.83333333,96,32,내,38000,52000,0.402671756,0.433760684,0.836432439
박병호,532,432,98,92,121,22,0,33,0,1,0,9,78,5,13,117,7,6,110,21,117,34,내,150000,200000,0.398496241,0.560185185,0.958681426
박상언,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,포,2800,2800,0,0,0
박석민,444,360,74,49,96,17,1,19,1,2,4,3,65,2,12,69,17,11,92,19.08333333,107,30,내,75000,70000,0.393181818,0.477777778,0.870959596
박세혁,505,441,63,58,123,19,9,4,8,2,10,6,41,1,7,68,5,8,101,24.16666667,141,41,포,10000,23200,0.345454545,0.390022676,0.735477221
박승규,23,21,2,2,4,0,0,0,1,1,0,0,2,0,0,7,0,0,4,0.5,9,1,외,2700,3200,0.260869565,0.19047619,0.451345756
박승욱,245,223,15,24,52,3,4,3,4,1,6,0,14,0,2,50,5,5,44,6.833333333,45,8,내,6600,8000,0.284518828,0.322869955,0.607388784
박용택,215,195,22,19,55,9,0,1,3,1,0,2,18,1,0,30,3,0,42,6.916666667,59,13,외,80000,80000,0.339534884,0.343589744,0.683124627
박정음,88,71,7,13,14,2,1,0,6,5,1,0,11,0,5,31,1,0,25,4.916666667,25,8,외,4500,4300,0.344827586,0.253521127,0.598348713
박준태,47,41,4,13,7,3,0,0,1,1,0,2,4,0,0,15,1,0,9,0.5,11,1,외,7000,4500,0.234042553,0.243902439,0.477944992
박지규,18,11,1,2,1,0,0,0,0,0,1,0,4,0,2,7,0,1,5,0,2,0,내,4500,4000,0.411764706,0.090909091,0.502673797
박찬도,34,32,2,10,9,1,0,0,0,1,0,0,2,1,0,10,0,0,8,1,9,1,외,5500,5000,0.323529412,0.3125,0.636029412
박찬호,541,504,49,60,131,15,4,2,39,6,5,2,26,0,4,83,8,16,93,23.25,130,40,내,4200,10500,0.300373134,0.317460317,0.617833452
박한결,11,11,0,0,2,0,0,0,0,1,0,0,0,0,0,4,1,0,2,0,2,0,내,2700,3000,0.181818182,0.181818182,0.363636364
박해민,581,506,44,64,121,16,7,5,24,7,12,3,58,0,2,82,4,2,102,19.33333333,117,28,외,36000,30000,0.318101933,0.328063241,0.646165174
배성근,48,44,2,4,9,1,0,0,1,0,0,0,4,0,0,13,0,3,16,2,11,2,내,2700,3200,0.270833333,0.227272727,0.498106061
배정대,84,74,6,15,15,4,0,0,0,2,2,0,7,0,1,23,2,1,12,4,19,5,외,3800,4800,0.280487805,0.256756757,0.537244562
백동훈,52,47,2,8,8,2,0,0,0,1,0,0,4,0,1,16,0,0,10,1,12,1,외,3400,3600,0.25,0.212765957,0.462765957
백승민,45,42,4,4,10,1,0,0,0,0,0,1,2,0,0,12,2,1,9,3.166666667,14,5,내,3700,4500,0.266666667,0.261904762,0.528571429
백승현,30,30,0,1,5,1,0,0,1,0,0,0,0,0,0,10,1,1,5,0,10,0,내,3100,3400,0.166666667,0.2,0.366666667
백용환,51,47,6,3,11,2,0,2,0,0,0,0,3,0,1,14,0,2,8,1.833333333,13,3,포,4500,4000,0.294117647,0.404255319,0.698372966
백창수,48,44,3,4,10,3,0,0,0,0,2,0,0,0,2,18,1,0,7,1,6,1,외,6000,5300,0.260869565,0.295454545,0.556324111
변우혁,61,53,2,7,12,1,0,1,0,0,0,0,7,0,1,17,3,1,12,2,13,3,내,2700,3000,0.327868852,0.301886792,0.629755645
서건창,486,426,41,67,128,23,3,2,17,3,3,5,49,1,3,50,5,6,91,21.5,96,33,내,35000,35000,0.372670807,0.382629108,0.755299915
서예일,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,내,3100,3200,0,0,0
손아섭,568,512,63,78,151,22,1,10,13,8,1,2,52,1,1,92,6,4,112,22.33333333,123,36,외,150000,200000,0.35978836,0.400390625,0.760178985
송광민,486,454,51,50,120,21,0,7,8,2,3,5,21,0,3,91,18,16,87,18.08333333,111,29,내,25000,25000,0.298136646,0.356828194,0.65496484
송민섭,64,53,4,24,16,0,1,0,1,3,1,1,6,0,3,13,0,0,32,4,13,4,외,3300,4700,0.396825397,0.339622642,0.736448038
송승환,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,내,2700,2800,0,0,0
송준석,56,51,4,6,12,3,0,1,0,0,1,1,2,0,1,14,3,1,10,0.333333333,16,1,외,2900,4000,0.272727273,0.352941176,0.625668449
신민재,94,81,5,25,19,3,0,0,10,8,1,1,8,0,3,17,0,0,34,3.5,19,4,내,2700,5000,0.322580645,0.271604938,0.594185583
신본기,413,375,26,43,96,9,0,1,3,3,5,1,24,1,8,62,9,15,82,14.58333333,94,21,내,16000,12500,0.31372549,0.288,0.60172549
신성현,54,41,6,9,8,0,0,1,0,0,0,2,10,0,1,14,0,2,13,1.25,16,3,내,5000,4800,0.351851852,0.268292683,0.620144535
신용수,20,20,2,4,2,0,0,1,0,0,0,0,0,0,0,4,0,4,3,0,3,0,내,2700,2900,0.1,0.25,0.35
심우준,433,391,28,54,109,13,1,3,24,3,12,1,23,0,6,68,7,11,103,12.33333333,79,20,내,8500,13000,0.327790974,0.340153453,0.667944427
안승한,47,44,5,4,6,1,0,0,0,0,1,0,1,0,1,13,1,2,3,1.5,18,2,포,2700,3700,0.173913043,0.159090909,0.333003953
안치홍,408,362,49,45,114,18,1,5,4,2,0,5,40,1,1,37,9,11,98,17.75,124,29,내,50000,29000,0.379901961,0.41160221,0.791504171
양성우,129,119,6,11,20,3,0,1,1,0,1,0,9,0,0,28,2,0,17,3.5,28,4,외,8500,7000,0.2265625,0.218487395,0.445049895
양우현,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,내,2700,2700,0,0,0
양의지,459,390,68,61,138,26,0,20,4,3,0,6,48,4,15,43,13,2,100,26.5,110,40,포,200000,200000,0.437908497,0.574358974,1.012267471
양종민,49,44,5,1,6,2,0,0,0,0,2,1,2,0,0,15,3,4,7,1,12,1,내,3000,3600,0.170212766,0.181818182,0.352030948
오선우,57,53,4,5,8,1,1,1,0,0,0,0,3,0,1,24,0,0,8,1,14,2,내,2700,3000,0.210526316,0.264150943,0.474677259
오선진,453,392,36,37,88,16,0,3,7,2,10,3,38,0,10,72,8,12,90,18.16666667,99,26,내,7500,10500,0.306997743,0.288265306,0.595263049
오영수,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,내,3000,2900,0.125,0.125,0.25
오윤석,228,198,21,21,44,2,0,1,0,0,4,4,20,1,2,43,4,5,47,10.83333333,55,16,내,3000,4000,0.294642857,0.247474747,0.542117605
오재원,204,177,18,30,29,8,1,3,6,2,2,0,25,0,0,50,3,7,35,8.5,52,11,내,55000,30000,0.267326733,0.271186441,0.538513173
오재일,529,467,102,76,137,29,1,21,2,1,0,4,55,1,3,99,5,4,94,27.7,131,45,내,30000,47000,0.368620038,0.494646681,0.863266719
오준혁,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,외,3700,3000,0,0,0
오지환,547,473,53,63,119,23,5,9,27,5,7,3,57,1,7,113,7,12,112,19.66666667,125,32,내,40000,60000,0.338888889,0.378435518,0.717324407
오태곤,392,352,35,63,88,16,1,6,19,2,3,2,31,0,4,78,8,9,74,12.5,82,18,내,8000,9500,0.316195373,0.352272727,0.6684681
유강남,468,418,49,44,113,22,0,16,0,0,1,6,30,2,13,82,21,7,78,15.16666667,100,21,포,21000,23000,0.334047109,0.437799043,0.771846152
유민상,202,175,26,23,51,15,0,5,0,0,0,0,24,0,3,35,6,3,38,10.33333333,44,15,내,4300,6000,0.386138614,0.462857143,0.848995757
유영준,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,내,2700,2800,0,0,0
유장혁,61,55,4,10,9,1,0,1,3,0,0,1,5,0,0,17,0,0,13,2,14,2,외,2700,3200,0.229508197,0.236363636,0.465871833
유재신,59,51,6,17,13,2,1,0,4,3,1,1,6,0,0,12,1,1,26,2.333333333,10,3,외,5700,4700,0.327586207,0.333333333,0.66091954
유한준,562,501,86,61,159,19,1,14,3,0,0,5,52,1,4,61,20,2,118,36.16666667,142,53,외,60000,50000,0.382562278,0.443113772,0.82567605
윤석민,178,169,17,4,39,4,0,2,0,0,0,2,7,0,0,24,4,5,35,6.833333333,51,11,내,24000,18000,0.258426966,0.289940828,0.548367795
윤수강,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,포,3200,3200,0.25,0.25,0.5
이대호,549,485,88,48,138,23,1,16,0,0,0,7,47,4,10,65,19,1,102,28.83333333,131,38,내,250000,250000,0.355191257,0.435051546,0.790242803
이동훈,31,31,4,3,9,1,0,0,3,0,0,0,0,0,0,8,1,0,6,2,13,3,외,3500,3300,0.290322581,0.322580645,0.612903226
이명기,547,484,36,62,142,17,3,2,14,4,7,4,48,2,4,66,12,2,126,19,108,29,외,22000,24000,0.359259259,0.353305785,0.712565044
이병규,22,19,0,1,3,2,0,0,0,0,0,0,2,0,1,7,1,0,3,0,4,0,외,9500,5000,0.272727273,0.263157895,0.535885167
이상호,256,234,12,30,65,7,0,0,10,5,8,3,9,0,2,22,10,5,42,4.5,39,7,내,8000,10000,0.306451613,0.307692308,0.614143921
이성곤,28,28,0,1,5,3,0,0,0,0,0,0,0,0,0,6,0,0,3,0,5,0,외,3200,3500,0.178571429,0.285714286,0.464285714
이성규,46,43,7,3,11,2,0,2,1,1,0,0,2,0,1,16,1,3,7,1.25,10,3,내,3300,4300,0.304347826,0.441860465,0.746208291
이성열,476,414,85,60,106,21,1,21,8,4,1,4,48,1,9,114,7,5,93,25.33333333,118,37,내,32000,50000,0.343157895,0.463768116,0.806926011
이성우,74,64,6,2,10,3,0,0,0,0,3,0,4,0,3,11,2,3,14,2.5,16,3,포,7000,8000,0.23943662,0.203125,0.44256162
이우성,168,151,22,19,33,4,0,6,0,0,1,2,12,0,2,40,3,1,23,9.5,46,11,외,4000,4000,0.281437126,0.364238411,0.645675536
이원석,455,395,76,44,97,20,0,19,2,1,2,7,43,0,8,73,10,13,78,22.33333333,115,35,내,30000,30000,0.326710817,0.440506329,0.767217146
이원재,285,256,36,31,66,11,0,8,1,2,5,3,20,0,1,47,5,4,49,13.16666667,68,19,내,5000,7100,0.310714286,0.39453125,0.705245536
이유찬,13,13,1,6,3,0,0,0,5,0,0,0,0,0,0,3,0,1,13,1.5,7,2,내,2900,3200,0.230769231,0.230769231,0.461538462
이재원,502,451,75,33,121,19,0,12,1,0,1,7,34,2,9,59,16,6,102,25.58333333,132,40,포,140000,130000,0.327345309,0.390243902,0.717589212
이정후,630,574,68,91,193,31,10,6,13,7,3,4,45,0,4,40,15,2,130,27.66666667,137,42,외,23000,39000,0.385964912,0.456445993,0.842410905
이정훈,15,14,3,0,4,1,0,0,0,0,0,1,0,0,0,1,2,0,4,0.666666667,7,2,포,3000,3000,0.266666667,0.357142857,0.623809524
이준수,49,36,3,3,7,1,0,0,0,0,3,0,9,0,1,11,1,2,11,1.5,10,2,포,3100,3800,0.369565217,0.222222222,0.59178744
이지영,331,308,39,40,87,5,1,1,5,1,6,1,15,1,1,28,14,3,54,20.33333333,91,28,포,21000,30000,0.316923077,0.314935065,0.631858142
이진영,15,15,2,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,7,2,외,3400,3400,0.133333333,0.133333333,0.266666667
이창진,470,400,48,57,108,25,1,6,8,8,4,5,57,0,4,92,8,5,92,17.33333333,101,27,내,3100,8500,0.362660944,0.3825,0.745160944
이천웅,613,546,48,88,168,24,3,2,21,10,4,1,57,1,5,82,13,1,122,21.4,105,35,외,15000,28000,0.377668309,0.373626374,0.751294682
이학주,436,385,36,43,101,14,3,7,15,5,5,4,32,0,10,89,3,19,80,14.33333333,95,22,내,2700,9000,0.331786543,0.368831169,0.700617712
이해창,43,40,0,0,5,0,0,0,0,0,0,0,2,0,1,11,0,1,7,1,13,1,포,6100,5500,0.186046512,0.125,0.311046512
이현동,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,외,2900,2900,0,0,0
이현석,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,포,2800,3000,0,0,0
이형종,482,419,63,56,120,24,1,13,6,5,1,10,42,1,10,78,9,2,84,17.75,113,28,외,17000,20000,0.357588358,0.441527446,0.799115804
이흥련,44,42,5,3,13,2,1,0,0,0,0,0,2,0,0,12,1,0,11,2,9,2,포,9000,7000,0.340909091,0.404761905,0.745670996
임병욱,419,379,41,39,92,17,5,0,10,2,6,0,23,0,11,110,6,4,90,17.66666667,101,27,외,10000,8800,0.305084746,0.313984169,0.619068915
임지열,18,15,3,0,2,1,0,0,0,0,1,0,1,0,1,7,1,2,4,1,4,1,내,2700,2700,0.235294118,0.2,0.435294118
장성우,413,366,41,25,96,7,0,7,0,1,4,6,35,2,2,86,11,5,73,13.5,97,24,포,9500,13500,0.325183374,0.338797814,0.663981188
장승현,46,41,3,3,7,2,0,0,0,0,0,1,3,0,1,13,0,0,9,0,6,0,포,3000,3500,0.239130435,0.219512195,0.45864263
장영석,413,372,62,41,92,15,0,7,0,0,0,5,27,0,9,77,14,10,65,21.25,115,33,내,5300,7500,0.309927361,0.344086022,0.654013382
장운호,12,10,0,2,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,외,4800,3800,0.181818182,0.1,0.281818182
장진혁,349,315,24,42,80,16,5,1,13,5,2,1,26,0,5,74,4,3,63,13.83333333,77,18,외,3800,5800,0.319884726,0.346031746,0.665916472
전민수,106,96,8,8,23,7,0,0,2,1,1,0,9,0,0,18,4,0,16,6.5,29,7,외,4000,5000,0.304761905,0.3125,0.617261905
전병우,55,51,0,2,5,1,0,0,0,0,1,0,3,0,0,22,0,2,7,0,12,0,내,4000,2900,0.148148148,0.117647059,0.265795207
전준우,606,545,83,85,164,30,1,22,8,2,1,7,46,2,7,71,19,4,121,27,154,43,외,50000,50000,0.358677686,0.480733945,0.839411631
정근우,305,277,30,37,77,10,1,3,8,5,3,1,20,1,4,43,11,6,60,14.5,61,22,내,70000,35000,0.334437086,0.353790614,0.6882277
정범모,45,40,4,4,9,1,0,2,1,1,2,0,3,0,0,15,0,1,9,0.333333333,8,1,포,6800,5500,0.279069767,0.4,0.679069767
정보근,35,32,1,3,4,0,0,0,0,0,0,0,2,0,1,10,2,0,3,1,6,1,포,2700,2900,0.2,0.125,0.325
정상호,24,24,2,1,2,1,0,0,0,0,0,0,0,0,0,11,3,0,1,1,4,1,포,50000,7000,0.083333333,0.125,0.208333333
정수빈,513,441,41,75,117,19,5,0,26,8,4,5,57,0,6,60,6,3,93,20.33333333,110,27,외,24500,34000,0.353634578,0.33106576,0.684700337
정은원,624,564,57,83,148,27,6,8,14,7,6,6,48,0,0,101,6,13,106,18.5,112,27,내,5500,12000,0.317152104,0.374113475,0.691265579
정의윤,419,380,59,44,107,24,0,13,0,0,0,2,30,1,6,60,9,1,77,19.16666667,111,31,외,30000,30000,0.342105263,0.447368421,0.789473684
