Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_18
김헌곤,586.0,513.0,71.0,77.0,154.0,26.0,2.0,11.0,22.0,9.0,5.0,4.0,54.0,1.0,10.0,70.0,13.0,0.0,131.0,28.649999998999995,141.0,45.0,외,8500
김민하,108.0,97.0,17.0,13.0,21.0,4.0,0.0,3.0,5.0,5.0,2.0,1.0,5.0,0.0,3.0,30.0,6.0,0.0,24.0,5.5,26.0,8.0,외,3200
허일,15.0,14.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,외,2700
김사훈,79.0,74.0,6.0,7.0,17.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,22.0,0.0,2.0,14.0,5.0,22.0,5.0,포,4000
윤정우,43.0,40.0,2.0,6.0,10.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,7.0,4.0,1.0,9.0,0.5,11.0,1.0,외,3000
강경학,289.0,245.0,27.0,42.0,68.0,11.0,1.0,5.0,6.0,3.0,1.0,1.0,38.0,0.0,4.0,59.0,7.0,2.0,60.0,10.75,71.0,18.0,내,5800
오준혁,50.0,44.0,2.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,11.0,1.0,1.0,7.0,1.0,8.0,1.0,외,4000
이윤재,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,포,3000
정진기,212.0,201.0,17.0,33.0,49.0,8.0,1.0,3.0,11.0,3.0,3.0,0.0,6.0,0.0,2.0,45.0,2.0,5.0,36.0,8.833333333,55.0,13.0,외,6200
김지성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내,4000
윤병호,37.0,33.0,0.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,10.0,0.0,1.0,7.0,0.0,4.0,0.0,외,3500
이원재,150.0,138.0,19.0,12.0,42.0,10.0,0.0,5.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,33.0,3.0,2.0,32.0,10.5,36.0,12.0,외,2700
서상우,84.0,69.0,14.0,10.0,20.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,12.0,0.0,1.0,18.0,1.0,1.0,17.0,5.833333333000001,24.0,8.0,내,3500
류지혁,280.0,228.0,29.0,52.0,61.0,7.0,0.0,1.0,7.0,2.0,11.0,2.0,29.0,0.0,10.0,43.0,3.0,4.0,75.0,11.416666666,64.0,19.0,내,9500
박세혁,194.0,170.0,22.0,37.0,48.0,12.0,0.0,3.0,5.0,0.0,3.0,1.0,16.0,0.0,4.0,55.0,0.0,2.0,33.0,8.499999999,58.0,13.0,포,10000
유민상,58.0,48.0,14.0,9.0,13.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,14.0,3.0,0.0,3.0,5.0,13.0,5.0,내,4500
김재현,234.0,202.0,18.0,22.0,46.0,7.0,0.0,3.0,0.0,0.0,9.0,3.0,12.0,0.0,8.0,58.0,2.0,4.0,43.0,7.0,48.0,8.0,포,5000
박정음,17.0,16.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,5.0,0.0,외,5500
김규민,336.0,298.0,40.0,47.0,88.0,9.0,2.0,3.0,8.0,4.0,1.0,4.0,27.0,0.0,6.0,89.0,3.0,7.0,67.0,22.666666666,78.0,31.0,외,2900
구자욱,529.0,478.0,84.0,100.0,159.0,26.0,5.0,20.0,10.0,0.0,1.0,2.0,43.0,2.0,5.0,110.0,4.0,4.0,97.0,30.583333335000003,127.0,48.0,외,25000
박찬도,82.0,73.0,5.0,13.0,17.0,4.0,1.0,0.0,3.0,3.0,1.0,0.0,8.0,0.0,0.0,28.0,0.0,0.0,21.0,4.5,19.0,5.0,외,5000
박해민,649.0,576.0,68.0,114.0,172.0,30.0,10.0,9.0,36.0,10.0,8.0,6.0,56.0,0.0,3.0,99.0,9.0,2.0,103.0,24.666666666,109.0,37.0,외,29000
윤수강,79.0,73.0,8.0,8.0,14.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,21.0,1.0,2.0,9.0,3.0,15.0,4.0,포,2700
신본기,479.0,425.0,71.0,55.0,125.0,28.0,1.0,11.0,1.0,5.0,5.0,5.0,33.0,2.0,11.0,95.0,12.0,20.0,107.0,24.916666666,130.0,39.0,내,9000
하주석,517.0,484.0,52.0,67.0,123.0,20.0,3.0,9.0,14.0,12.0,1.0,0.0,28.0,0.0,4.0,130.0,7.0,18.0,78.0,23.333333333,120.0,32.0,내,12000
양성우,236.0,209.0,13.0,32.0,53.0,9.0,0.0,2.0,1.0,1.0,0.0,1.0,22.0,2.0,4.0,32.0,8.0,1.0,41.0,7.0,52.0,10.0,외,10000
박승욱,79.0,65.0,9.0,11.0,20.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,10.0,0.0,2.0,16.0,1.0,3.0,30.0,4.5,19.0,6.0,내,4500
김민식,365.0,310.0,37.0,53.0,76.0,9.0,3.0,6.0,5.0,2.0,11.0,2.0,39.0,0.0,3.0,63.0,8.0,4.0,68.0,12.833333333,68.0,16.0,포,15000
최항,257.0,222.0,35.0,38.0,65.0,12.0,1.0,7.0,2.0,2.0,2.0,0.0,25.0,0.0,8.0,57.0,1.0,10.0,55.0,12.666666666,60.0,19.0,내,4200
최정민,95.0,83.0,6.0,17.0,21.0,2.0,0.0,2.0,1.0,3.0,4.0,0.0,7.0,0.0,1.0,20.0,2.0,3.0,24.0,3.0,18.0,3.0,내,5500
한동민,562.0,486.0,115.0,97.0,138.0,31.0,0.0,41.0,4.0,2.0,0.0,8.0,52.0,3.0,16.0,124.0,10.0,1.0,83.0,26.166666666,126.0,36.0,외,15000
박민우,460.0,411.0,33.0,68.0,133.0,22.0,5.0,5.0,17.0,5.0,3.0,4.0,32.0,3.0,10.0,51.0,4.0,8.0,94.0,17.666666667,69.0,25.0,내,32000
황윤호,62.0,57.0,4.0,11.0,9.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,6.0,2.0,3.0,26.0,5.0,18.0,5.0,내,3100
강구성,5.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,외,2700
박헌욱,23.0,22.0,3.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,7.0,2.0,3.0,2.0,외,2700
강진성,75.0,68.0,1.0,5.0,16.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,17.0,3.0,0.0,17.0,1.0,13.0,1.0,내,3000
노진혁,458.0,420.0,42.0,52.0,119.0,21.0,4.0,11.0,4.0,3.0,1.0,2.0,33.0,0.0,2.0,92.0,8.0,15.0,82.0,17.333333333,81.0,22.0,내,4300
김성욱,358.0,323.0,45.0,49.0,84.0,13.0,2.0,13.0,11.0,2.0,2.0,3.0,29.0,0.0,1.0,64.0,10.0,0.0,69.0,13.333333332,82.0,19.0,외,10500
나성범,620.0,556.0,91.0,110.0,177.0,36.0,3.0,23.0,15.0,2.0,0.0,5.0,44.0,4.0,15.0,131.0,11.0,3.0,119.0,28.833333333,135.0,43.0,외,43000
김진곤,23.0,21.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,7.0,0.0,외,3300
강승호,212.0,184.0,31.0,14.0,47.0,10.0,0.0,3.0,1.0,1.0,6.0,1.0,18.0,0.0,3.0,57.0,2.0,11.0,47.0,12.5,56.0,19.0,내,6600
장승현,16.0,13.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,7.0,1.0,3.0,1.0,포,2800
김인태,109.0,95.0,10.0,16.0,25.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,26.0,0.0,1.0,12.0,4.833333333000001,26.0,7.0,외,3200
이우성,199.0,177.0,24.0,24.0,40.0,9.0,0.0,4.0,1.0,2.0,1.0,1.0,16.0,0.0,4.0,57.0,6.0,5.0,38.0,11.333333333,49.0,16.0,외,2800
장시윤,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,내,3600
이흥련,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,포,7500
김영환,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,내,3000
정현,132.0,117.0,9.0,16.0,31.0,7.0,0.0,2.0,3.0,0.0,6.0,0.0,9.0,0.0,0.0,28.0,3.0,8.0,18.0,4.0,27.0,4.0,내,7800
백민기,34.0,27.0,4.0,7.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,11.0,1.0,0.0,9.0,0.25,10.0,1.0,외,3000
조홍석,71.0,62.0,1.0,14.0,14.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,2.0,13.0,2.0,0.0,12.0,1.0,10.0,1.0,외,2800
노수광,588.0,515.0,53.0,93.0,161.0,21.0,8.0,8.0,25.0,4.0,9.0,3.0,48.0,0.0,13.0,86.0,3.0,2.0,122.0,27.166666666,117.0,37.0,외,13000
한승택,101.0,89.0,15.0,10.0,22.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,7.0,0.0,2.0,24.0,4.0,1.0,14.0,5.5,25.0,7.0,포,7500
윤대영,23.0,23.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,2.0,6.0,3.0,내,2900
권희동,391.0,343.0,57.0,43.0,97.0,19.0,1.0,8.0,1.0,3.0,5.0,4.0,35.0,2.0,4.0,58.0,5.0,0.0,74.0,15.25,96.0,24.0,외,13000
심우준,403.0,367.0,29.0,49.0,95.0,23.0,3.0,4.0,11.0,11.0,11.0,1.0,20.0,1.0,4.0,58.0,4.0,13.0,78.0,18.5,77.0,22.0,내,6300
송민섭,29.0,27.0,0.0,7.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,19.0,2.0,4.0,2.0,외,3000
안중열,176.0,154.0,18.0,19.0,38.0,11.0,0.0,4.0,0.0,0.0,7.0,0.0,12.0,0.0,3.0,56.0,4.0,5.0,35.0,9.0,44.0,12.0,포,2800
신성현,27.0,24.0,2.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,9.0,1.0,1.0,4.0,0.0,4.0,0.0,내,5700
양원혁,6.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,내,2900
양석환,519.0,483.0,82.0,53.0,127.0,27.0,0.0,22.0,2.0,2.0,1.0,5.0,24.0,0.0,6.0,81.0,9.0,14.0,84.0,29.666666667,142.0,44.0,내,16000
배정대,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,외,3800
이성곤,19.0,16.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,4.0,0.0,외,3000
김하성,576.0,511.0,84.0,95.0,147.0,27.0,4.0,20.0,8.0,2.0,1.0,5.0,54.0,2.0,5.0,81.0,16.0,13.0,97.0,24.666666664999997,163.0,39.0,내,32000
임병욱,447.0,423.0,60.0,76.0,124.0,29.0,3.0,13.0,16.0,3.0,0.0,2.0,22.0,1.0,0.0,119.0,6.0,5.0,79.0,23.999999999000003,119.0,36.0,외,5000
김호재,7.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,내,2800
백승민,32.0,31.0,5.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,5.0,1.5,11.0,2.0,내,2700
송준석,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,외,2700
김재현,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,내,7000
오윤석,13.0,12.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,4.0,1.0,내,3100
이창진,30.0,29.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,10.0,0.0,5.0,0.0,내,3100
강한울,209.0,193.0,8.0,20.0,50.0,5.0,2.0,0.0,3.0,4.0,3.0,0.0,12.0,0.0,1.0,34.0,1.0,4.0,52.0,6.0,47.0,8.0,내,15500
박준태,150.0,123.0,24.0,32.0,28.0,5.0,1.0,5.0,0.0,2.0,5.0,0.0,13.0,0.0,9.0,37.0,1.0,2.0,37.0,9.5,33.0,12.0,외,3800
지성준,224.0,207.0,29.0,22.0,57.0,7.0,0.0,7.0,1.0,0.0,2.0,1.0,12.0,0.0,2.0,55.0,6.0,3.0,40.0,13.0,55.0,17.0,포,2800
박준혁,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,외,3000
김민수,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,포,3300
조용호,14.0,13.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,외,6200
강민국,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,내,2700
박광열,30.0,25.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,9.0,0.0,1.0,4.0,1.0,6.0,1.0,포,3600
김태진,35.0,31.0,3.0,5.0,11.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,3.0,6.0,2.0,2.0,2.0,내,3000
백승현,8.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,내,3000
안익훈,135.0,123.0,10.0,13.0,27.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,0.0,1.0,12.0,4.0,0.0,33.0,5.0,35.0,7.0,외,9000
박지규,53.0,47.0,5.0,6.0,8.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,17.0,2.0,2.0,13.0,1.5,11.0,2.0,내,5000
김민혁,58.0,53.0,10.0,7.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,3.0,0.0,7.0,4.0,13.0,6.0,내,3000
송성문,238.0,211.0,45.0,35.0,66.0,19.0,0.0,7.0,2.0,4.0,2.0,1.0,24.0,0.0,0.0,49.0,2.0,5.0,54.0,16.666666666,63.0,24.0,내,3500
허정협,24.0,24.0,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,7.0,1.5,7.0,2.0,외,4500
권정웅,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,포,4500
전병우,77.0,66.0,13.0,18.0,24.0,7.0,0.0,3.0,3.0,0.0,0.0,1.0,9.0,0.0,1.0,24.0,1.0,1.0,14.0,7.5,13.0,9.0,내,2700
이도윤,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내,2700
남태혁,11.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,내,3300
홍창기,25.0,18.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,3.0,0.0,외,3000
김기연,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,포,2700
황경태,13.0,13.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,2.0,0.0,내,2800
조수행,198.0,183.0,17.0,35.0,51.0,6.0,4.0,1.0,9.0,0.0,5.0,1.0,9.0,0.0,0.0,33.0,4.0,1.0,41.0,11.0,44.0,14.0,외,4500
주효상,126.0,110.0,12.0,9.0,24.0,3.0,0.0,1.0,1.0,2.0,4.0,0.0,10.0,0.0,2.0,36.0,2.0,2.0,20.0,6.333333333000001,33.0,7.0,포,3500
김종덕,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,포,2700
안주형,8.0,8.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,8.0,1.0,4.0,1.0,내,3100
김성훈,212.0,185.0,24.0,24.0,45.0,9.0,3.0,0.0,12.0,6.0,3.0,2.0,16.0,0.0,6.0,23.0,2.0,4.0,62.0,8.633333333,60.0,17.0,내,4700
나경민,71.0,57.0,1.0,23.0,15.0,2.0,0.0,0.0,12.0,4.0,1.0,0.0,10.0,0.0,3.0,21.0,0.0,0.0,35.0,2.5,16.0,3.0,외,5800
최원준,331.0,302.0,32.0,46.0,82.0,14.0,1.0,4.0,10.0,4.0,4.0,1.0,20.0,0.0,4.0,58.0,4.0,14.0,67.0,12.916666666,81.0,19.0,내,7500
류승현,85.0,75.0,13.0,9.0,23.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,12.0,2.0,4.0,17.0,5.333333333,19.0,7.0,내,2900
신범수,26.0,25.0,4.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,5.0,0.333333333,5.0,1.0,포,2900
이동훈,50.0,46.0,2.0,6.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,1.0,0.0,17.0,2.0,6.0,2.0,외,3300
김태연,30.0,26.0,2.0,7.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,8.0,0.0,2.0,11.0,0.5,8.0,1.0,내,3000
장진혁,48.0,42.0,2.0,9.0,9.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,2.0,11.0,0.0,0.0,16.0,2.0,10.0,2.0,외,2800
강상원,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,외,3000
김인환,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,내,2800
정경운,16.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0,1.0,9.0,1.0,내,3300
김동엽,446.0,421.0,76.0,58.0,106.0,15.0,0.0,27.0,11.0,2.0,1.0,3.0,17.0,0.0,4.0,108.0,13.0,3.0,69.0,19.499999999000003,97.0,32.0,외,11500
안상현,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,내,2700
김찬형,160.0,142.0,9.0,24.0,33.0,5.0,0.0,1.0,4.0,1.0,1.0,1.0,8.0,0.0,8.0,28.0,1.0,5.0,32.0,4.5,30.0,5.0,내,2700
도태훈,42.0,35.0,5.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,5.0,0.0,1.0,11.0,2.5,8.0,3.0,내,3000
이재율,45.0,41.0,1.0,8.0,7.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,12.0,1.0,7.0,1.0,외,3200
조원빈,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,내,2700
홍현빈,15.0,13.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,1.0,0.0,외,2900
로하스,645.0,564.0,114.0,114.0,172.0,30.0,1.0,43.0,18.0,13.0,1.0,2.0,71.0,4.0,7.0,142.0,10.0,3.0,116.0,30.5,143.0,46.0,외,800000
이병휘,24.0,22.0,2.0,5.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,10.0,3.0,12.0,3.0,내,2700
김혜성,473.0,430.0,45.0,79.0,116.0,15.0,6.0,5.0,31.0,6.0,3.0,2.0,33.0,1.0,5.0,119.0,6.0,16.0,80.0,26.916666666,117.0,39.0,내,2900
이정후,520.0,459.0,57.0,81.0,163.0,34.0,2.0,6.0,11.0,4.0,3.0,8.0,42.0,3.0,8.0,58.0,5.0,5.0,111.0,27.7,100.0,37.0,외,11000
초이스,397.0,349.0,61.0,55.0,90.0,19.0,0.0,17.0,2.0,1.0,0.0,5.0,33.0,2.0,10.0,79.0,4.0,2.0,74.0,16.166666666,91.0,22.0,외,600000
김성윤,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,외,3000
