,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
62558,104.0,88.0,8.0,10.0,14.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,2.0,23.0,1.0,2.0,15.0,4.333333333000001,27.0,6.0
62611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62668,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
62700,20.0,19.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,1.5,6.0,2.0
62797,129.0,119.0,6.0,11.0,20.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,28.0,2.0,0.0,17.0,3.5,28.0,4.0
62802,245.0,223.0,15.0,24.0,52.0,3.0,4.0,3.0,4.0,1.0,6.0,0.0,14.0,0.0,2.0,50.0,5.0,5.0,44.0,6.833333333,45.0,8.0
62864,116.0,96.0,14.0,6.0,16.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,15.0,0.0,3.0,29.0,1.0,3.0,26.0,2.0,24.0,4.0
62884,147.0,127.0,14.0,12.0,29.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,16.0,0.0,2.0,24.0,3.0,3.0,19.0,6.333333333000001,36.0,9.0
62893,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
62895,502.0,427.0,52.0,52.0,113.0,20.0,0.0,12.0,0.0,1.0,0.0,0.0,55.0,4.0,20.0,100.0,6.0,4.0,100.0,17.5,91.0,24.0
62907,526.0,468.0,45.0,89.0,161.0,23.0,8.0,1.0,18.0,7.0,2.0,6.0,41.0,1.0,9.0,40.0,10.0,9.0,100.0,25.833333333,96.0,32.0
62908,130.0,123.0,9.0,9.0,37.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,0.0,0.0,12.0,2.0,6.0,27.0,5.0,33.0,6.0
62921,9.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.5,3.0,1.0
62925,104.0,97.0,14.0,11.0,24.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,4.0,20.0,6.0,1.0,21.0,5.0,29.0,6.0
62931,390.0,348.0,43.0,51.0,92.0,23.0,2.0,13.0,0.0,1.0,6.0,3.0,31.0,2.0,2.0,80.0,7.0,5.0,59.0,14.583333333,79.0,19.0
62934,333.0,287.0,36.0,38.0,66.0,16.0,1.0,9.0,6.0,4.0,9.0,5.0,29.0,1.0,3.0,69.0,4.0,2.0,58.0,14.166666667000001,64.0,19.0
62947,106.0,93.0,14.0,19.0,34.0,12.0,1.0,4.0,2.0,1.0,0.0,0.0,12.0,0.0,1.0,26.0,2.0,0.0,23.0,4.333333333000001,25.0,7.0
63088,34.0,30.0,6.0,4.0,8.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,3.0,4.5,8.0,5.0
63123,42.0,39.0,5.0,5.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,18.0,1.0,1.0,4.0,2.0,8.0,2.0
63202,46.0,41.0,3.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,13.0,0.0,0.0,9.0,0.0,6.0,0.0
63248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63257,70.0,60.0,7.0,6.0,14.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,12.0,2.0,0.0,16.0,1.3333333330000001,20.0,2.0
63260,168.0,151.0,22.0,19.0,33.0,4.0,0.0,6.0,0.0,0.0,1.0,2.0,12.0,0.0,2.0,40.0,3.0,1.0,23.0,9.5,46.0,11.0
63440,44.0,42.0,5.0,3.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,1.0,0.0,11.0,2.0,9.0,2.0
63448,15.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0
63450,45.0,38.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,17.0,1.0,0.0,5.0,1.25,12.0,2.0
63512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63558,11.0,11.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,1.0
63559,52.0,47.0,2.0,8.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,16.0,0.0,0.0,10.0,1.0,12.0,1.0
63593,65.0,60.0,5.0,8.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,14.0,1.0,0.0,12.0,1.3333333330000001,17.0,2.0
63628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63636,32.0,31.0,3.0,2.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,4.0,8.0,2.0,10.0,2.0
63700,12.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
63703,11.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0
63704,445.0,388.0,28.0,69.0,97.0,16.0,1.0,2.0,27.0,10.0,9.0,0.0,46.0,0.0,2.0,68.0,1.0,3.0,62.0,16.0,63.0,21.0
63722,288.0,251.0,27.0,22.0,56.0,9.0,1.0,3.0,1.0,0.0,7.0,2.0,27.0,1.0,1.0,82.0,8.0,5.0,48.0,14.166666667,68.0,20.0
63765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63895,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63903,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
63920,19.0,16.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0
63963,413.0,348.0,41.0,37.0,89.0,17.0,0.0,6.0,3.0,0.0,5.0,3.0,50.0,1.0,7.0,60.0,10.0,4.0,98.0,13.333333333,97.0,22.0
64004,521.0,466.0,32.0,68.0,131.0,10.0,1.0,0.0,22.0,10.0,5.0,5.0,32.0,0.0,13.0,61.0,8.0,4.0,91.0,19.666666665,109.0,28.0
64006,433.0,391.0,28.0,54.0,109.0,13.0,1.0,3.0,24.0,3.0,12.0,1.0,23.0,0.0,6.0,68.0,7.0,11.0,103.0,12.333333332,79.0,20.0
64007,68.0,60.0,7.0,8.0,12.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,26.0,1.0,4.0,10.0,1.8333333330000001,17.0,3.0
64011,47.0,44.0,5.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,13.0,1.0,2.0,3.0,1.5,18.0,2.0
64012,64.0,53.0,4.0,24.0,16.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,6.0,0.0,3.0,13.0,0.0,0.0,32.0,4.0,13.0,4.0
64014,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
64022,145.0,136.0,4.0,10.0,26.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,41.0,2.0,5.0,17.0,1.3333333330000001,25.0,2.0
64086,54.0,41.0,6.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0,14.0,0.0,2.0,13.0,1.25,16.0,3.0
64117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64164,12.0,11.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,3.0,1.0
64166,84.0,74.0,6.0,15.0,15.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,0.0,1.0,23.0,2.0,1.0,12.0,4.0,19.0,5.0
64260,27.0,26.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,1.0,8.0,1.0
64266,28.0,28.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,5.0,0.0
64300,625.0,540.0,104.0,112.0,166.0,38.0,2.0,19.0,33.0,4.0,1.0,7.0,70.0,4.0,7.0,80.0,12.0,20.0,125.0,38.0,162.0,59.0
64340,18.0,15.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,1.0,2.0,4.0,1.0,4.0,1.0
64346,419.0,379.0,41.0,39.0,92.0,17.0,5.0,0.0,10.0,2.0,6.0,0.0,23.0,0.0,11.0,110.0,6.0,4.0,90.0,17.666666666,101.0,27.0
64407,33.0,32.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,5.0,0.0,6.0,0.0
64410,45.0,42.0,4.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,12.0,2.0,1.0,9.0,3.166666667,14.0,5.0
64468,204.0,168.0,25.0,26.0,43.0,8.0,1.0,4.0,5.0,1.0,6.0,3.0,22.0,0.0,5.0,45.0,7.0,9.0,41.0,6.499999999999999,47.0,12.0
64469,56.0,51.0,4.0,6.0,12.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,14.0,3.0,1.0,10.0,0.333333333,16.0,1.0
64493,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
64499,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64501,48.0,44.0,2.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,3.0,16.0,2.0,11.0,2.0
64504,228.0,198.0,21.0,21.0,44.0,2.0,0.0,1.0,0.0,0.0,4.0,4.0,20.0,1.0,2.0,43.0,4.0,5.0,47.0,10.833333332999999,55.0,16.0
64560,470.0,400.0,48.0,57.0,108.0,25.0,1.0,6.0,8.0,8.0,4.0,5.0,57.0,0.0,4.0,92.0,8.0,5.0,92.0,17.333333333,101.0,27.0
64646,541.0,504.0,49.0,60.0,131.0,15.0,4.0,2.0,39.0,6.0,5.0,2.0,26.0,0.0,4.0,83.0,8.0,16.0,93.0,23.249999999,130.0,40.0
64657,47.0,41.0,4.0,13.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,15.0,1.0,0.0,9.0,0.5,11.0,1.0
64706,16.0,13.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,5.0,1.0,4.0,1.0
64717,109.0,104.0,11.0,7.0,26.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,3.0,0.0,19.0,4.833333333000001,31.0,7.0
64718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64724,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64793,41.0,39.0,2.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,4.0,0.5,10.0,1.0
64803,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
64805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
64868,211.0,188.0,19.0,15.0,55.0,6.0,3.0,0.0,3.0,4.0,2.0,0.0,21.0,0.0,0.0,28.0,0.0,0.0,52.0,13.916666667,62.0,19.0
64906,94.0,88.0,7.0,12.0,24.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,17.0,2.0,9.0,18.0,5.333333333000001,27.0,7.0
64984,399.0,374.0,46.0,44.0,103.0,14.0,5.0,5.0,12.0,4.0,5.0,3.0,16.0,0.0,1.0,67.0,3.0,3.0,76.0,20.5,98.0,29.0
64995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65109,30.0,30.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,5.0,0.0,10.0,0.0
65132,7.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.5,3.0,1.0
65136,18.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,7.0,0.0,1.0,5.0,0.0,2.0,0.0
65207,94.0,81.0,5.0,25.0,19.0,3.0,0.0,0.0,10.0,8.0,1.0,1.0,8.0,0.0,3.0,17.0,0.0,0.0,34.0,3.5,19.0,4.0
65304,10.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0
65357,335.0,308.0,34.0,33.0,70.0,12.0,5.0,3.0,2.0,1.0,4.0,4.0,19.0,0.0,0.0,53.0,7.0,7.0,51.0,13.666666666000001,96.0,22.0
65399,77.0,68.0,8.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,19.0,1.0,0.0,13.0,5.5,20.0,6.0
65464,21.0,21.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,3.0,1.0,4.0,1.0
65515,306.0,288.0,25.0,38.0,69.0,15.0,6.0,4.0,7.0,1.0,1.0,1.0,13.0,0.0,3.0,107.0,3.0,20.0,50.0,10.333333333,58.0,16.0
65586,55.0,51.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,22.0,0.0,2.0,7.0,0.0,12.0,0.0
65610,28.0,25.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,3.0,0.0,6.0,0.0
65616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65643,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65869,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65898,11.0,11.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.5,5.0,2.0
65905,10.0,9.0,1.0,5.0,4.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,2.0,0.0
65964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66052,24.0,22.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,3.0,0.5,6.0,1.0
66108,26.0,24.0,0.0,3.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,1.0,0.0,6.0,1.0,6.0,1.0
