Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_18,OBP,SLG,OPS
김동한,96,83,9,11,16,1,0,2,3,1,2,2,9,0,0,18,1,3,19,1.833333333,18,3,내,6300,0.265957447,0.277108434,0.543065881
김문호,115,100,16,12,25,7,0,2,1,0,2,0,13,1,0,27,2,2,19,6.5,28,7,외,15000,0.336283186,0.38,0.716283186
김민성,465,413,45,46,117,24,0,10,1,0,1,5,40,3,6,80,6,7,98,17.83333333,104,24,내,35000,0.351293103,0.414043584,0.765336687
김민수,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,3,0,포,3300,0.166666667,0.166666667,0.333333333
김민식,365,310,37,53,76,9,3,6,5,2,11,2,39,0,3,63,8,4,68,12.83333333,68,16,포,15000,0.333333333,0.351612903,0.684946237
김민하,108,97,17,13,21,4,0,3,5,5,2,1,5,0,3,30,6,0,24,5.5,26,8,외,3200,0.273584906,0.350515464,0.62410037
김민혁,58,53,10,7,12,2,0,2,0,0,0,0,5,0,0,19,3,0,7,4,13,6,내,3000,0.293103448,0.377358491,0.670461939
김사훈,79,74,6,7,17,3,0,0,0,0,3,0,1,0,1,22,0,2,14,5,22,5,포,4000,0.25,0.27027027,0.52027027
김상수,499,453,50,63,119,13,1,10,12,9,8,3,27,0,8,91,11,16,77,11.66666666,120,24,내,24000,0.313645621,0.362030905,0.675676526
김석환,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,내,2800,0,0,0
김선빈,492,424,49,73,125,17,2,4,4,1,6,5,48,1,9,42,10,12,92,24.66666667,115,35,내,28000,0.374485597,0.372641509,0.747127106
김성욱,358,323,45,49,84,13,2,13,11,2,2,3,29,0,1,64,10,0,69,13.33333333,82,19,외,10500,0.320224719,0.433436533,0.753661252
김성윤,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,외,3000,0,0,0
김성현,462,415,55,51,115,19,1,4,6,2,6,3,29,0,9,42,19,17,92,26.16666667,114,38,내,25000,0.335526316,0.356626506,0.692152822
김성훈,212,185,24,24,45,9,3,0,12,6,3,2,16,0,6,23,2,4,62,8.633333333,60,17,내,4700,0.320574163,0.324324324,0.644898487
김영환,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,내,3000,0,0,0
김용의,185,159,13,28,37,2,0,0,10,1,7,3,16,1,0,32,1,1,58,6.75,42,9,외,9000,0.297752809,0.245283019,0.543035828
김응민,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,포,3000,0,0,0
김인태,109,95,10,16,25,7,0,1,0,0,1,1,12,0,0,26,0,1,12,4.833333333,26,7,외,3200,0.342592593,0.368421053,0.711013645
김인환,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,내,2800,0,0,0
김재율,41,36,3,5,8,3,0,0,0,0,0,0,3,0,2,9,1,0,7,2,5,2,내,6800,0.317073171,0.305555556,0.622628726
김재호,467,402,75,78,125,20,0,16,6,2,3,6,52,1,4,77,12,12,83,24.16666667,100,35,내,65000,0.390086207,0.480099502,0.870185709
김재환,602,527,133,104,176,36,1,44,2,0,0,7,59,4,9,134,6,4,122,30.08333333,156,46,외,47000,0.405315615,0.65654649,1.061862104
김종덕,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,포,2700,0.5,0.5,1
김종민,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,포,5300,0,0,0
김주찬,471,429,93,71,146,23,0,18,8,1,2,10,23,5,7,57,15,3,97,26.1,133,48,내,40000,0.375266525,0.51981352,0.895080044
김주형,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,내,7500,0.125,0.125,0.25
김지성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,내,4000,,,
김지수,39,34,0,4,5,0,0,0,0,1,0,0,5,0,0,15,2,1,13,1,9,1,내,6200,0.256410256,0.147058824,0.40346908
김지열,48,45,5,11,9,4,0,1,1,1,0,0,3,0,0,13,2,2,13,1.5,11,2,외,4000,0.25,0.355555556,0.605555556
김진곤,23,21,0,4,3,1,0,0,0,2,0,0,2,0,0,3,0,0,3,0,7,0,외,3300,0.217391304,0.19047619,0.407867495
김찬형,160,142,9,24,33,5,0,1,4,1,1,1,8,0,8,28,1,5,32,4.5,30,5,내,2700,0.308176101,0.288732394,0.596908495
김창혁,10,10,0,1,2,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,2,0,포,2700,0.2,0.3,0.5
김철호,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,내,2700,0,0,0
김태균,271,254,34,25,80,11,0,10,0,1,0,0,13,1,4,56,7,2,42,18.66666667,70,24,내,140000,0.357933579,0.476377953,0.834311532
김태연,30,26,2,7,5,1,0,0,0,1,1,0,3,0,0,8,0,2,11,0.5,8,1,내,3000,0.275862069,0.230769231,0.5066313
김태완,74,66,5,5,13,2,0,1,0,0,0,1,5,1,2,25,4,0,11,1.666666667,17,3,내,6000,0.27027027,0.272727273,0.542997543
김태진,35,31,3,5,11,0,0,1,1,2,1,0,3,0,0,5,0,3,6,2,2,2,내,3000,0.411764706,0.451612903,0.863377609
김하성,576,511,84,95,147,27,4,20,8,2,1,5,54,2,5,81,16,13,97,24.66666666,163,39,내,32000,0.35826087,0.473581213,0.831842083
김헌곤,586,513,71,77,154,26,2,11,22,9,5,4,54,1,10,70,13,0,131,28.65,141,45,외,8500,0.375215146,0.423001949,0.798217096
김현수,511,453,101,95,164,39,2,20,1,3,0,10,47,6,1,61,9,5,96,29.33333333,117,49,외,140000,0.414872798,0.589403974,1.004276772
김형준,89,81,2,6,13,1,0,0,0,0,0,0,7,0,1,32,3,5,13,1,10,1,포,2700,0.235955056,0.172839506,0.408794562
김혜성,473,430,45,79,116,15,6,5,31,6,3,2,33,1,5,119,6,16,80,26.91666667,117,39,내,2900,0.327659574,0.36744186,0.695101435
김호재,7,6,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,3,0,내,2800,0.166666667,0.166666667,0.333333333
김회성,102,85,17,15,22,5,0,4,1,0,3,0,11,0,3,26,3,0,20,7.333333333,22,9,내,5800,0.363636364,0.458823529,0.822459893
나경민,71,57,1,23,15,2,0,0,12,4,1,0,10,0,3,21,0,0,35,2.5,16,3,외,5800,0.4,0.298245614,0.698245614
나성범,620,556,91,110,177,36,3,23,15,2,0,5,44,4,15,131,11,3,119,28.83333333,135,43,외,43000,0.380645161,0.517985612,0.898630773
나원탁,24,24,1,0,3,0,0,0,0,0,0,0,0,0,0,10,0,2,2,1,5,1,포,2800,0.125,0.125,0.25
나종덕,203,177,11,15,22,3,0,2,0,0,9,0,12,0,5,85,2,4,25,3.5,40,4,포,2800,0.201030928,0.175141243,0.376172171
나주환,420,362,56,54,95,24,0,12,5,6,13,2,38,0,5,66,2,13,68,20.33333333,87,28,내,30000,0.339066339,0.428176796,0.767243135
나지완,379,317,78,50,86,18,0,26,0,0,0,5,38,2,19,81,14,0,53,16.83333333,100,25,외,60000,0.377308707,0.574132492,0.951441199
남태혁,11,11,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,내,3300,0.181818182,0.181818182,0.363636364
노수광,588,515,53,93,161,21,8,8,25,4,9,3,48,0,13,86,3,2,122,27.16666667,117,37,외,13000,0.383419689,0.431067961,0.81448765
노진혁,458,420,42,52,119,21,4,11,4,3,1,2,33,0,2,92,8,15,82,17.33333333,81,22,내,4300,0.336980306,0.430952381,0.767932687
도태훈,42,35,5,5,8,0,0,1,0,0,0,0,5,0,2,5,0,1,11,2.5,8,3,내,3000,0.357142857,0.314285714,0.671428571
러프,597,506,125,97,167,32,4,33,5,3,0,8,65,0,18,107,17,6,116,32.83333333,131,48,내,1400000,0.418760469,0.604743083,1.023503552
로맥,616,528,107,102,167,19,0,43,10,5,0,6,72,0,10,123,7,11,122,24.16666667,118,35,내,500000,0.404220779,0.596590909,1.000811688
로하스,645,564,114,114,172,30,1,43,18,13,1,2,71,4,7,142,10,3,116,30.5,143,46,외,800000,0.388198758,0.590425532,0.97862429
류승현,85,75,13,9,23,3,1,1,0,0,1,1,7,0,1,12,2,4,17,5.333333333,19,7,내,2900,0.369047619,0.413333333,0.782380952
류지혁,280,228,29,52,61,7,0,1,7,2,11,2,29,0,10,43,3,4,75,11.41666667,64,19,내,9500,0.371747212,0.311403509,0.683150721
모창민,314,287,62,38,80,10,1,17,2,3,0,4,21,0,2,51,10,9,52,17.66666667,80,27,내,18500,0.328025478,0.49825784,0.826283317
문규현,349,316,41,42,87,19,1,6,3,1,9,6,18,0,0,45,9,13,60,13.66666667,73,20,내,18000,0.308823529,0.398734177,0.707557707
문선재,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,외,7000,0.166666667,0.166666667,0.333333333
문성주,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,외,2700,0.333333333,0.333333333,0.666666667
민병헌,494,443,66,74,141,21,0,17,8,3,2,6,35,3,8,68,10,1,100,19.5,106,30,외,100000,0.37398374,0.480812641,0.854796381
박건우,529,488,84,79,159,24,6,12,7,3,1,2,28,1,10,65,14,1,113,36.86666667,142,53,외,37000,0.373106061,0.473360656,0.846466716
박경수,528,458,74,65,120,21,0,25,4,1,0,3,58,2,9,129,16,14,91,23.66666667,111,32,내,23000,0.354166667,0.471615721,0.825782387
박광열,30,25,1,3,4,0,0,0,0,0,1,0,4,0,0,9,0,1,4,1,6,1,포,3600,0.275862069,0.16,0.435862069
박기혁,196,173,15,17,37,6,0,1,1,0,5,3,13,0,2,50,8,4,31,5.833333333,46,9,내,15000,0.272251309,0.265895954,0.538147263
박동원,128,117,17,19,29,3,0,6,0,0,2,0,9,1,0,25,3,2,18,5,36,10,포,18000,0.301587302,0.427350427,0.728937729
박민우,460,411,33,68,133,22,5,5,17,5,3,4,32,3,10,51,4,8,94,17.66666667,69,25,내,32000,0.382932166,0.437956204,0.820888371
박병호,488,400,112,88,138,20,0,43,0,1,0,3,68,10,17,114,9,11,119,22.33333333,125,39,내,150000,0.456967213,0.7175,1.174467213
박석민,375,318,55,40,81,14,1,16,1,0,0,3,39,4,15,80,11,4,65,14,82,19,내,75000,0.36,0.455974843,0.815974843
박성한,59,52,2,3,7,1,0,0,0,0,0,0,7,0,0,16,0,6,19,3,16,3,내,2700,0.237288136,0.153846154,0.391134289
박세혁,194,170,22,37,48,12,0,3,5,0,3,1,16,0,4,55,0,2,33,8.499999999,58,13,포,10000,0.356020942,0.405882353,0.761903295
박승욱,79,65,9,11,20,3,0,0,4,1,2,0,10,0,2,16,1,3,30,4.5,19,6,내,4500,0.415584416,0.353846154,0.769430569
박용택,583,524,76,89,159,38,1,15,3,3,0,7,47,0,5,107,21,0,97,23.08333333,130,37,외,80000,0.361921098,0.465648855,0.827569953
박정권,31,29,6,4,5,0,0,2,0,0,0,0,2,0,0,9,0,0,3,2,11,2,내,40000,0.225806452,0.379310345,0.605116796
박정음,17,16,1,1,1,0,0,1,0,0,0,0,0,0,1,4,0,0,5,0,5,0,외,5500,0.117647059,0.25,0.367647059
박준태,150,123,24,32,28,5,1,5,0,2,5,0,13,0,9,37,1,2,37,9.5,33,12,외,3800,0.344827586,0.406504065,0.751331651
박준혁,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,외,3000,0.2,0.4,0.6
박지규,53,47,5,6,8,2,0,1,2,0,2,1,3,0,0,17,2,2,13,1.5,11,2,내,5000,0.215686275,0.276595745,0.492282019
박찬도,82,73,5,13,17,4,1,0,3,3,1,0,8,0,0,28,0,0,21,4.5,19,5,외,5000,0.308641975,0.315068493,0.623710468
박한이,392,342,43,47,97,16,0,10,5,3,6,1,43,2,0,91,9,0,69,21.5,97,28,외,25000,0.362694301,0.418128655,0.780822955
박해민,649,576,68,114,172,30,10,9,36,10,8,6,56,0,3,99,9,2,103,24.66666667,109,37,외,29000,0.360374415,0.432291667,0.792666082
박헌도,31,26,0,1,3,1,0,0,0,0,0,0,5,0,0,10,1,0,4,0,5,0,외,7200,0.258064516,0.153846154,0.41191067
박헌욱,23,22,3,1,6,2,0,1,1,0,0,0,1,0,0,5,1,1,7,2,3,2,외,2700,0.304347826,0.5,0.804347826
반슬라이크,44,39,4,1,5,1,0,1,0,0,0,1,4,0,0,6,2,2,5,0,10,0,외,300000,0.204545455,0.230769231,0.435314685
배영섭,168,147,13,15,36,6,0,0,1,0,2,0,16,2,3,35,2,1,39,7.833333333,42,11,외,13000,0.331325301,0.285714286,0.617039587
배정대,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,외,3800,0.2,0.2,0.4
백민기,34,27,4,7,6,2,0,1,0,0,0,1,5,0,1,11,1,0,9,0.25,10,1,외,3000,0.352941176,0.407407407,0.760348584
백상원,8,6,2,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,2,2,내,6000,0.625,0.5,1.125
백승민,32,31,5,3,8,2,0,0,0,0,0,0,1,0,0,9,1,1,5,1.5,11,2,내,2700,0.28125,0.322580645,0.603830645
백승현,8,8,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,내,3000,0.25,0.25,0.5
백용환,57,47,4,7,13,1,0,0,0,1,1,0,9,0,0,15,3,2,17,3,9,3,포,5300,0.392857143,0.29787234,0.690729483
백창수,169,152,18,21,37,15,1,3,0,0,0,1,12,0,4,36,5,4,24,6.833333333,40,10,외,5000,0.313609467,0.414473684,0.728083152
버나디나,590,513,70,106,159,25,3,20,32,13,3,1,63,3,10,103,9,4,95,19.83333333,124,36,외,750000,0.395229983,0.487329435,0.882559418
번즈,505,462,64,80,124,34,5,23,5,2,1,0,33,2,9,133,8,22,85,20.33333333,135,31,내,730000,0.329365079,0.512987013,0.842352092
샌즈,93,86,37,17,27,1,1,12,0,1,0,1,6,0,0,27,2,0,11,8.333333333,21,11,외,90000,0.35483871,0.76744186,1.12228057
서건창,160,141,15,28,48,12,0,0,2,0,2,2,12,0,3,19,1,0,31,9.499999999,45,14,내,38000,0.398734177,0.425531915,0.824266092
서동욱,56,49,2,3,10,3,0,0,0,0,0,1,5,0,1,15,1,1,8,0,6,0,내,18500,0.285714286,0.265306122,0.551020408
서상우,84,69,14,10,20,0,0,2,0,1,0,2,12,0,1,18,1,1,17,5.833333333,24,8,내,3500,0.392857143,0.376811594,0.769668737
손시헌,150,128,14,12,24,4,0,2,2,0,1,1,15,0,5,20,3,3,27,3.833333333,33,6,내,50000,0.295302013,0.265625,0.560927013
손아섭,625,553,93,109,182,32,5,26,20,3,1,1,68,1,2,99,15,4,131,32.41666667,136,49,외,150000,0.403846154,0.546112116,0.94995827
손주인,297,265,28,26,63,10,0,4,3,0,10,4,11,0,7,40,11,5,52,12.5,73,17,내,18000,0.282229965,0.320754717,0.602984682
송광민,460,434,79,63,129,24,0,18,4,4,0,4,18,0,4,93,13,12,82,17.08333333,144,35,내,24000,0.32826087,0.476958525,0.805219395
송민섭,29,27,0,7,4,0,0,0,2,1,1,0,1,0,0,8,1,1,19,2,4,2,외,3000,0.178571429,0.148148148,0.326719577
송성문,238,211,45,35,66,19,0,7,2,4,2,1,24,0,0,49,2,5,54,16.66666667,63,24,내,3500,0.381355932,0.502369668,0.8837256
송준석,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,외,2700,0.333333333,0.333333333,0.666666667
스크럭스,571,501,97,75,129,35,0,26,3,2,0,3,55,2,12,144,14,12,95,30,145,44,내,700000,0.343257443,0.483033932,0.826291375
신범수,26,25,4,0,4,2,1,0,0,0,0,1,0,0,0,7,1,0,5,0.333333333,5,1,포,2900,0.153846154,0.32,0.473846154
신본기,479,425,71,55,125,28,1,11,1,5,5,5,33,2,11,95,12,20,107,24.91666667,130,39,내,9000,0.356540084,0.442352941,0.798893026
신성현,27,24,2,5,4,0,0,1,0,0,0,1,2,0,0,9,1,1,4,0,4,0,내,5700,0.222222222,0.291666667,0.513888889
신진호,25,22,1,1,4,0,0,0,0,0,0,0,3,0,0,10,1,2,3,1,7,1,포,2800,0.28,0.181818182,0.461818182
심우준,403,367,29,49,95,23,3,4,11,11,11,1,20,1,4,58,4,13,78,18.5,77,22,내,6300,0.303571429,0.370572207,0.674143636
안상현,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,내,2700,0.5,0.5,1
안익훈,135,123,10,13,27,4,0,0,0,1,2,1,8,0,1,12,4,0,33,5,35,7,외,9000,0.270676692,0.25203252,0.522709212
안주형,8,8,1,2,2,0,0,0,0,0,0,0,0,0,0,3,0,1,8,1,4,1,내,3100,0.25,0.25,0.5
안중열,176,154,18,19,38,11,0,4,0,0,7,0,12,0,3,56,4,5,35,9,44,12,포,2800,0.313609467,0.396103896,0.709713364
안치홍,549,494,118,88,169,38,1,23,5,1,0,9,36,1,10,57,13,8,105,35.25,144,58,내,32000,0.391621129,0.562753036,0.954374166
양석환,519,483,82,53,127,27,0,22,2,2,1,5,24,0,6,81,9,14,84,29.66666667,142,44,내,16000,0.303088803,0.455486542,0.758575346
양성우,236,209,13,32,53,9,0,2,1,1,0,1,22,2,4,32,8,1,41,7,52,10,외,10000,0.334745763,0.325358852,0.660104614
양원혁,6,5,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,내,2900,0.5,0.4,0.9
양의지,503,439,77,84,157,29,1,23,6,0,0,6,45,6,13,40,13,3,101,28.5,126,40,포,60000,0.427435388,0.585421412,1.0128568
양종민,15,14,1,5,4,0,1,0,0,0,0,0,1,0,0,5,1,1,3,2,3,2,내,2900,0.333333333,0.428571429,0.761904762
예진원,7,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,외,2700,0.142857143,0.142857143,0.285714286
오선진,148,133,9,14,30,4,0,1,3,0,3,0,7,0,5,33,2,5,30,5.166666667,39,9,내,8600,0.289655172,0.278195489,0.567850661
오영수,16,15,0,0,2,0,0,0,0,1,0,0,1,0,0,5,0,0,3,0,5,0,내,2700,0.1875,0.133333333,0.320833333
오윤석,13,12,0,3,2,0,0,0,0,0,0,0,1,0,0,5,1,0,4,1,4,1,내,3100,0.230769231,0.166666667,0.397435897
오재원,521,473,81,78,148,24,1,15,15,6,3,2,41,0,2,119,13,17,93,32.83333333,139,47,내,55000,0.368725869,0.463002114,0.831727983
오재일,477,401,80,69,112,19,2,27,1,1,0,10,60,2,6,121,3,4,83,17.33333333,121,26,내,30000,0.373165618,0.538653367,0.911818985
오정복,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,외,7000,0,0,0
오준혁,50,44,2,6,6,0,0,0,1,1,1,1,3,0,1,11,1,1,7,1,8,1,외,4000,0.204081633,0.136363636,0.340445269
오지환,617,533,71,93,148,26,2,11,10,5,12,6,59,3,7,146,6,24,95,28,126,45,내,29000,0.353719008,0.39587242,0.749591429
오태곤,374,342,39,55,87,17,2,12,13,8,3,1,24,0,4,92,7,2,65,13.83333333,89,22,내,8300,0.309973046,0.421052632,0.731025677
유강남,465,425,66,53,126,33,0,19,0,0,2,1,28,1,9,80,21,7,81,23.66666667,117,33,포,18500,0.352051836,0.508235294,0.86028713
유민상,58,48,14,9,13,2,1,3,0,0,0,2,8,0,0,14,3,0,3,5,13,5,내,4500,0.362068966,0.541666667,0.903735632
유재신,40,33,8,19,14,3,1,1,4,0,0,0,7,0,0,10,0,1,14,4,8,4,외,6500,0.525,0.666666667,1.191666667
유한준,480,428,83,59,145,21,1,20,1,1,2,1,47,3,2,53,9,0,103,29,109,42,외,60000,0.405857741,0.53271028,0.938568021
윤대영,23,23,3,0,5,1,0,0,0,0,0,0,0,0,0,9,0,0,4,2,6,3,내,2900,0.217391304,0.260869565,0.47826087
윤병호,37,33,0,3,6,1,0,0,1,0,1,0,2,0,1,10,0,1,7,0,4,0,외,3500,0.25,0.212121212,0.462121212
윤석민,509,460,60,58,127,22,0,19,4,1,2,3,40,2,4,69,17,7,96,17.5,100,22,내,31000,0.337278107,0.447826087,0.785104193
윤수강,79,73,8,8,14,6,0,1,0,0,1,0,5,0,0,21,1,2,9,3,15,4,포,2700,0.243589744,0.315068493,0.558658237
윤정우,43,40,2,6,10,2,0,1,2,1,0,0,2,0,1,7,4,1,9,0.5,11,1,외,3000,0.302325581,0.375,0.677325581
윤진호,61,53,4,13,11,3,0,0,0,1,4,0,2,0,2,14,2,2,19,3,18,3,내,4200,0.263157895,0.264150943,0.527308838
이대수,6,5,0,1,1,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,내,7000,0.2,0.4,0.6
이대형,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,외,20000,0,0,0
이대호,604,543,125,81,181,30,0,37,0,1,0,4,43,7,14,75,18,3,116,31,153,47,내,250000,0.394039735,0.593001842,0.987041577
이도윤,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,내,2700,0,0,0
이동훈,50,46,2,6,11,1,0,1,0,1,0,0,3,0,1,8,1,0,17,2,6,2,외,3300,0.3,0.326086957,0.626086957
이명기,502,447,42,88,135,28,6,4,12,5,11,1,40,3,3,64,5,2,84,18.75,118,29,외,25000,0.362525458,0.418344519,0.780869977
이범호,380,332,69,41,93,7,0,20,1,0,0,2,42,4,4,59,12,4,63,15.58333333,100,28,내,65000,0.365789474,0.481927711,0.847717185
이병규,257,198,39,31,54,11,1,10,0,0,0,2,50,1,7,58,5,1,48,12.16666667,62,18,외,9000,0.431906615,0.48989899,0.921805605
이병휘,24,22,2,5,6,1,0,0,1,1,0,0,1,0,1,6,1,0,10,3,12,3,내,2700,0.333333333,0.318181818,0.651515152
이상호,204,187,8,32,47,2,0,0,13,5,7,0,8,0,2,15,8,2,49,5.333333333,35,7,내,8000,0.289340102,0.262032086,0.551372187
이성곤,19,16,0,1,3,0,0,0,0,0,0,0,3,0,0,7,1,0,4,0,4,0,외,3000,0.315789474,0.1875,0.503289474
이성열,528,485,102,76,143,21,1,34,9,7,1,2,35,3,5,143,9,4,79,26.83333333,138,39,외,25000,0.347248577,0.55257732,0.899825896
이성우,134,120,5,10,29,5,0,0,1,0,4,1,8,0,1,16,4,0,24,1.5,32,2,포,9000,0.292307692,0.283333333,0.575641026
이영욱,16,16,1,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,5,0.5,6,1,외,6500,0.125,0.125,0.25
이용규,575,491,36,82,144,14,1,1,30,11,8,5,59,0,12,62,8,6,107,25.83333333,104,34,외,40000,0.379188713,0.33197556,0.711164273
이우성,199,177,24,24,40,9,0,4,1,2,1,1,16,0,4,57,6,5,38,11.33333333,49,16,외,2800,0.303030303,0.344632768,0.647663071
이원석,543,479,93,74,144,30,1,20,2,1,0,5,52,1,7,103,10,9,101,24.41666667,139,42,내,30000,0.373848987,0.492693111,0.866542098
이원재,150,138,19,12,42,10,0,5,0,2,0,2,10,0,0,33,3,2,32,10.5,36,12,외,2700,0.346666667,0.485507246,0.832173913
이윤재,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,포,3000,0,0,0
이인행,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,외,3200,0,0,0
이인혁,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,외,2700,0,0,0
이재원,471,407,57,63,134,24,0,17,0,0,4,5,43,0,12,65,13,11,86,24.33333333,104,32,포,35000,0.404710921,0.513513514,0.918224434
이재율,45,41,1,8,7,1,1,0,3,1,0,0,2,0,2,10,0,0,12,1,7,1,외,3200,0.244444444,0.243902439,0.488346883
이정후,520,459,57,81,163,34,2,6,11,4,3,8,42,3,8,58,5,5,111,27.7,100,37,외,11000,0.411992263,0.477124183,0.889116446
이종욱,128,122,8,12,28,7,0,1,1,1,1,1,4,0,0,16,2,0,19,4.5,23,5,외,20000,0.251968504,0.31147541,0.563443914
이준수,10,8,1,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0,4,0.5,4,1,포,3000,0.333333333,0.25,0.583333333
