Name,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,Position,Money_17,Team,OBP,SLG,OPS
이종환,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,외,6000,HH,0.0,0.0,0.0
최윤석,33.0,32.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,5.0,1.0,4.0,1.0,내,5200,HH,0.21875,0.21875,0.4375
유강남,364.0,324.0,66.0,43.0,90.0,13.0,0.0,17.0,2.0,0.0,9.0,2.0,14.0,0.0,15.0,72.0,4.0,4.0,67.0,23.0,81.0,31.0,포,10000,LG,0.3352112676056338,0.47530864197530864,0.8105199095809424
정병곤,82.0,74.0,7.0,16.0,16.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,2.0,21.0,3.0,2.0,21.0,3.0,19.0,3.0,내,3500,SS,0.275,0.2972972972972973,0.5722972972972973
김재율,198.0,181.0,28.0,21.0,55.0,9.0,0.0,6.0,0.0,1.0,4.0,1.0,10.0,0.0,2.0,35.0,8.0,2.0,36.0,8.833333333,50.0,13.0,내,2900,LG,0.34536082474226804,0.4530386740331492,0.7983994987754173
이천웅,266.0,232.0,27.0,35.0,66.0,14.0,0.0,2.0,8.0,3.0,4.0,0.0,24.0,2.0,6.0,45.0,10.0,4.0,59.0,12.5,50.0,19.0,외,9300,LG,0.366412213740458,0.3706896551724138,0.7371018689128719
최영진,22.0,20.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,6.0,1.0,4.0,1.0,내,3000,SS,0.23809523809523808,0.55,0.7880952380952382
김동한,205.0,178.0,14.0,26.0,42.0,19.0,0.0,3.0,4.0,3.0,13.0,0.0,14.0,0.0,0.0,25.0,2.0,7.0,41.0,3.5,43.0,6.0,내,3800,LT,0.2916666666666667,0.39325842696629215,0.6849250936329588
정진호,224.0,198.0,31.0,43.0,56.0,11.0,2.0,5.0,1.0,1.0,4.0,2.0,19.0,1.0,1.0,32.0,2.0,0.0,47.0,13.666666667,49.0,18.0,외,4700,OB,0.34545454545454546,0.43434343434343436,0.7797979797979798
고종욱,453.0,426.0,54.0,70.0,133.0,24.0,8.0,8.0,16.0,4.0,0.0,2.0,22.0,2.0,3.0,92.0,11.0,5.0,85.0,22.666666666,111.0,32.0,외,12000,WO,0.3487858719646799,0.4624413145539906,0.8112271865186705
홍성갑,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,외,3600,WO,0.25,0.14285714285714285,0.39285714285714285
김헌곤,404.0,356.0,47.0,51.0,94.0,13.0,2.0,9.0,11.0,2.0,8.0,3.0,29.0,0.0,8.0,45.0,11.0,2.0,84.0,18.999999999000003,92.0,30.0,외,5000,SS,0.33080808080808083,0.38764044943820225,0.7184485302462831
김정혁,91.0,84.0,13.0,15.0,23.0,5.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,2.0,18.0,1.0,1.0,17.0,7.0,19.0,10.0,내,4300,SS,0.31868131868131866,0.3333333333333333,0.6520146520146519
김사훈,89.0,76.0,8.0,1.0,14.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,6.0,0.0,1.0,21.0,2.0,1.0,18.0,3.333333333,29.0,5.0,포,2900,LT,0.25,0.2236842105263158,0.4736842105263158
강경학,93.0,84.0,4.0,17.0,18.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,19.0,1.0,4.0,21.0,2.833333333,24.0,4.0,내,6200,HH,0.2903225806451613,0.2619047619047619,0.5522273425499232
나성용,11.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.5,4.0,1.0,외,3900,SS,0.18181818181818182,0.18181818181818182,0.36363636363636365
오준혁,13.0,12.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,1.0,외,4200,HT,0.3076923076923077,0.25,0.5576923076923077
정진기,212.0,197.0,35.0,37.0,46.0,5.0,1.0,11.0,4.0,0.0,2.0,0.0,9.0,0.0,4.0,55.0,1.0,5.0,37.0,11.5,50.0,15.0,외,2900,SK,0.28095238095238095,0.4365482233502538,0.7175006043026347
김지성,49.0,47.0,4.0,6.0,11.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,1.0,3.0,11.0,1.0,10.0,1.0,내,3800,HT,0.2653061224489796,0.425531914893617,0.6908380373425966
윤병호,58.0,55.0,2.0,11.0,11.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,10.0,2.0,0.0,18.0,3.0,12.0,3.0,외,3000,NC,0.22807017543859648,0.2545454545454545,0.482615629984051
이원재,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,외,2700,NC,0.0,0.0,0.0
조윤준,43.0,38.0,8.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,6.0,2.0,0.0,7.0,2.833333333,15.0,5.0,포,3000,LG,0.2682926829268293,0.23684210526315788,0.5051347881899871
서상우,17.0,13.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,내,5500,LG,0.29411764705882354,0.3076923076923077,0.6018099547511313
류지혁,330.0,297.0,26.0,60.0,77.0,13.0,4.0,3.0,7.0,5.0,8.0,0.0,21.0,0.0,4.0,55.0,2.0,15.0,56.0,10.5,71.0,16.0,내,5700,OB,0.3167701863354037,0.3602693602693603,0.6770395466047641
박세혁,237.0,201.0,26.0,41.0,57.0,8.0,0.0,5.0,2.0,1.0,8.0,4.0,19.0,0.0,5.0,44.0,1.0,2.0,46.0,11.0,53.0,14.0,포,6000,OB,0.3537117903930131,0.39800995024875624,0.7517217406417693
유민상,33.0,30.0,2.0,4.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,1.0,0.0,5.0,1.5,9.0,2.0,내,4500,KT,0.30303030303030304,0.36666666666666664,0.6696969696969697
김재현,88.0,84.0,6.0,6.0,14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,27.0,4.0,1.0,11.0,1.0,27.0,2.0,포,5300,WO,0.20454545454545456,0.2619047619047619,0.46645021645021645
박정음,162.0,140.0,15.0,26.0,34.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,9.0,0.0,8.0,39.0,0.0,3.0,28.0,7.833333333,37.0,10.0,외,6600,WO,0.3227848101265823,0.32857142857142857,0.6513562386980108
김규민,23.0,21.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,1.0,6.0,1.0,6.0,1.0,외,2700,WO,0.30434782608695654,0.3333333333333333,0.6376811594202898
구자욱,647.0,564.0,107.0,108.0,175.0,39.0,10.0,21.0,10.0,4.0,0.0,10.0,63.0,1.0,10.0,138.0,1.0,5.0,133.0,35.833333334,165.0,58.0,외,16000,SS,0.38330757341576505,0.526595744680851,0.9099033180966161
성의준,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,내,3500,SS,0.14285714285714285,0.0,0.14285714285714285
박해민,638.0,570.0,54.0,96.0,162.0,25.0,8.0,7.0,40.0,12.0,8.0,9.0,50.0,0.0,1.0,78.0,6.0,1.0,116.0,22.083333334,116.0,34.0,외,23000,SS,0.3380952380952381,0.3929824561403509,0.731077694235589
이현동,16.0,16.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,7.0,0.0,1.0,0.0,외,2800,SS,0.1875,0.25,0.4375
신본기,381.0,325.0,47.0,49.0,77.0,11.0,0.0,5.0,5.0,2.0,13.0,5.0,25.0,1.0,13.0,76.0,8.0,10.0,66.0,15.166666666,92.0,26.0,내,5500,LT,0.3125,0.3169230769230769,0.6294230769230769
김상호,114.0,101.0,7.0,7.0,23.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,11.0,1.0,2.0,22.0,4.0,0.0,21.0,5.0,28.0,6.0,내,6000,LT,0.3157894736842105,0.27722772277227725,0.5930171964564878
하주석,470.0,432.0,52.0,69.0,123.0,18.0,8.0,11.0,7.0,6.0,9.0,1.0,23.0,0.0,5.0,83.0,6.0,9.0,74.0,22.499999999,112.0,35.0,내,9000,HH,0.3275488069414317,0.4398148148148148,0.7673636217562465
김원석,212.0,195.0,26.0,29.0,54.0,12.0,2.0,7.0,0.0,0.0,2.0,0.0,10.0,0.0,5.0,59.0,3.0,0.0,40.0,11.666666667,46.0,15.0,외,3000,HH,0.32857142857142857,0.4666666666666667,0.7952380952380953
양성우,417.0,358.0,40.0,42.0,99.0,26.0,1.0,2.0,4.0,4.0,7.0,2.0,38.0,0.0,12.0,51.0,8.0,4.0,84.0,20.583333333,95.0,27.0,외,8000,HH,0.36341463414634145,0.3715083798882682,0.7349230140346097
박승욱,184.0,158.0,11.0,25.0,32.0,3.0,2.0,3.0,0.0,4.0,5.0,1.0,16.0,0.0,4.0,57.0,1.0,11.0,34.0,2.833333333,41.0,4.0,내,3500,SK,0.2905027932960894,0.3037974683544304,0.5943002616505197
김민식,392.0,352.0,40.0,39.0,78.0,9.0,2.0,4.0,3.0,3.0,7.0,2.0,26.0,0.0,5.0,55.0,7.0,8.0,68.0,19.583333333,94.0,32.0,포,6000,HT,0.2831168831168831,0.29261363636363635,0.5757305194805195
최항,116.0,106.0,16.0,14.0,34.0,8.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,3.0,29.0,1.0,3.0,25.0,9.833333333,28.0,12.0,내,2700,SK,0.3508771929824561,0.42452830188679247,0.7754054948692486
최정민,9.0,9.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.333333333,4.0,1.0,내,5500,HT,0.3333333333333333,0.4444444444444444,0.7777777777777777
한동민,414.0,350.0,73.0,64.0,103.0,21.0,2.0,29.0,2.0,2.0,0.0,3.0,46.0,2.0,15.0,79.0,8.0,5.0,88.0,12.666666666,84.0,19.0,외,7000,SK,0.3961352657004831,0.6142857142857143,1.0104209799861974
박민우,452.0,388.0,47.0,84.0,141.0,25.0,4.0,3.0,11.0,1.0,3.0,4.0,46.0,0.0,11.0,51.0,8.0,7.0,88.0,25.833333332,101.0,36.0,내,25000,NC,0.44097995545657015,0.47164948453608246,0.9126294399926527
황윤호,17.0,15.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,13.0,0.0,4.0,0.0,내,3000,NC,0.23529411764705882,0.26666666666666666,0.5019607843137255
강구성,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,외,2700,NC,0.0,0.0,0.0
강진성,32.0,27.0,5.0,5.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,1.0,0.0,10.0,2.0,8.0,2.0,내,2700,NC,0.40625,0.5185185185185185,0.9247685185185185
김태우,7.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,포,2700,NC,0.42857142857142855,0.42857142857142855,0.8571428571428571
노진혁,7.0,7.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,내,4000,NC,0.2857142857142857,0.42857142857142855,0.7142857142857142
김성욱,347.0,308.0,31.0,60.0,76.0,18.0,4.0,6.0,10.0,4.0,1.0,5.0,24.0,1.0,9.0,59.0,4.0,0.0,67.0,13.033333333,86.0,23.0,외,10000,NC,0.315028901734104,0.38961038961038963,0.7046392913444937
나성범,561.0,498.0,99.0,103.0,173.0,42.0,2.0,24.0,17.0,7.0,0.0,3.0,48.0,10.0,12.0,116.0,8.0,8.0,115.0,35.666666664999994,148.0,51.0,외,35000,NC,0.41532976827094475,0.5843373493975904,0.9996671176685352
황목치승,34.0,29.0,3.0,14.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,0.0,4.0,10.0,0.0,5.0,0.0,내,5000,LG,0.25,0.20689655172413793,0.4568965517241379
김진곤,40.0,39.0,8.0,9.0,11.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,9.0,3.5,11.0,5.0,외,3000,KT,0.3,0.46153846153846156,0.7615384615384615
강승호,268.0,248.0,31.0,42.0,62.0,14.0,2.0,5.0,2.0,2.0,3.0,7.0,7.0,0.0,3.0,67.0,5.0,12.0,30.0,8.833333333,66.0,16.0,내,3500,LG,0.27169811320754716,0.38306451612903225,0.6547626293365794
김인태,44.0,43.0,4.0,5.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,7.0,1.0,12.0,1.0,외,3000,OB,0.20454545454545456,0.3488372093023256,0.5533826638477801
이우성,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,외,2800,OB,0.0,0.0,0.0
김민준,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,외,2700,WO,0.2,0.0,0.2
정현,399.0,350.0,42.0,45.0,105.0,20.0,3.0,6.0,4.0,2.0,6.0,3.0,18.0,0.0,22.0,69.0,14.0,10.0,78.0,18.166666667,82.0,23.0,내,2800,KT,0.36895674300254455,0.4257142857142857,0.7946710287168303
이홍구,110.0,101.0,18.0,14.0,19.0,3.0,0.0,10.0,0.0,0.0,1.0,1.0,5.0,0.0,2.0,43.0,2.0,2.0,12.0,3.833333333,27.0,5.0,포,10000,SK,0.23853211009174313,0.5148514851485149,0.753383595240258
고장혁,40.0,38.0,3.0,13.0,9.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,20.0,1.0,11.0,1.0,내,4300,HT,0.23076923076923078,0.3157894736842105,0.5465587044534412
노수광,425.0,382.0,39.0,72.0,109.0,18.0,3.0,6.0,16.0,9.0,4.0,5.0,25.0,2.0,9.0,84.0,3.0,5.0,76.0,11.999999999,88.0,21.0,외,6800,SK,0.33966745843230406,0.39528795811518325,0.7349554165474873
한승택,91.0,83.0,7.0,7.0,19.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,25.0,1.0,2.0,18.0,5.0,23.0,6.0,포,3100,HT,0.28888888888888886,0.27710843373493976,0.5659973226238286
유영준,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,내,2700,NC,0.0,0.0,0.0
최재원,159.0,142.0,12.0,20.0,33.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,8.0,0.0,3.0,34.0,2.0,3.0,25.0,7.166666667,31.0,9.0,내,6500,LG,0.28205128205128205,0.29577464788732394,0.5778259299386059
김준완,144.0,124.0,8.0,19.0,31.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,15.0,0.0,1.0,27.0,3.0,2.0,38.0,6.5,24.0,7.0,외,7000,NC,0.33098591549295775,0.28225806451612906,0.6132439800090868
권희동,554.0,472.0,86.0,72.0,135.0,20.0,2.0,19.0,3.0,3.0,7.0,7.0,51.0,1.0,17.0,90.0,12.0,3.0,107.0,28.866666666,126.0,42.0,외,6800,NC,0.3711151736745887,0.4576271186440678,0.8287422923186565
심우준,303.0,286.0,26.0,38.0,82.0,15.0,2.0,4.0,18.0,5.0,4.0,1.0,8.0,0.0,4.0,58.0,4.0,19.0,61.0,16.75,63.0,21.0,내,5000,KT,0.31438127090301005,0.3951048951048951,0.7094861660079052
신성현,72.0,67.0,7.0,5.0,11.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,21.0,2.0,3.0,11.0,2.5,13.0,3.0,내,5700,OB,0.19718309859154928,0.26865671641791045,0.4658398150094597
장준원,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,내,3200,LG,0.0,0.0,0.0
양석환,496.0,445.0,83.0,62.0,117.0,27.0,3.0,14.0,3.0,7.0,2.0,5.0,38.0,2.0,6.0,93.0,13.0,8.0,87.0,25.666666665,131.0,44.0,내,9000,LG,0.3259109311740891,0.4314606741573034,0.7573716053313925
이성곤,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,외,2800,OB,0.2,0.2,0.4
김하성,601.0,526.0,114.0,90.0,159.0,36.0,3.0,23.0,16.0,8.0,2.0,7.0,58.0,2.0,8.0,65.0,8.0,18.0,128.0,32.749999998,154.0,55.0,내,22000,WO,0.3756260434056761,0.5133079847908745,0.8889340281965505
임병욱,46.0,42.0,7.0,10.0,10.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,14.0,2.0,0.0,7.0,2.0,15.0,3.0,외,6500,WO,0.2826086956521739,0.38095238095238093,0.6635610766045548
강한울,448.0,412.0,24.0,58.0,125.0,9.0,3.0,0.0,12.0,7.0,9.0,1.0,26.0,0.0,0.0,57.0,4.0,16.0,90.0,15.666666666,96.0,23.0,내,9000,SS,0.3439635535307517,0.33980582524271846,0.6837693787734702
이창열,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,내,3200,HH,0.0,0.0,0.0
박준혁,10.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,외,2900,HH,0.1,0.1,0.2
김민수,22.0,21.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,2.0,1.5,7.0,2.0,포,3000,SS,0.18181818181818182,0.19047619047619047,0.3722943722943723
조용호,225.0,191.0,10.0,34.0,52.0,7.0,1.0,0.0,11.0,2.0,6.0,0.0,25.0,0.0,3.0,39.0,4.0,1.0,42.0,10.5,42.0,14.0,외,3100,SK,0.365296803652968,0.3193717277486911,0.6846685314016592
박광열,66.0,63.0,1.0,5.0,12.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,18.0,3.0,1.0,7.0,0.0,17.0,0.0,포,3000,NC,0.2153846153846154,0.38095238095238093,0.5963369963369963
김만수,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,포,3000,KT,0.16666666666666666,0.16666666666666666,0.3333333333333333
정주후,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,내,2900,KT,0.0,0.0,0.0
히메네스,198.0,181.0,30.0,29.0,50.0,6.0,1.0,7.0,3.0,5.0,0.0,1.0,13.0,0.0,3.0,19.0,8.0,5.0,34.0,9.666666666,52.0,17.0,내,700000,LG,0.3333333333333333,0.43646408839779005,0.7697974217311234
백승현,30.0,23.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,6.0,0.0,2.0,9.0,0.0,3.0,0.0,내,2700,LG,0.3793103448275862,0.2608695652173913,0.6401799100449774
안익훈,248.0,219.0,15.0,38.0,70.0,5.0,0.0,1.0,3.0,2.0,5.0,2.0,18.0,0.0,4.0,28.0,3.0,2.0,61.0,11.5,46.0,15.0,외,5000,LG,0.3786008230452675,0.3561643835616438,0.7347652066069112
최민창,33.0,29.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,8.0,1.0,5.0,1.0,외,2700,LG,0.3333333333333333,0.27586206896551724,0.6091954022988506
김민혁,21.0,21.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,1.0,7.0,2.0,내,2700,OB,0.19047619047619047,0.2857142857142857,0.47619047619047616
송성문,90.0,77.0,8.0,11.0,21.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,10.0,0.0,1.0,16.0,0.0,2.0,21.0,3.666666667,16.0,6.0,내,3000,WO,0.3595505617977528,0.33766233766233766,0.6972128994600905
허정협,266.0,228.0,39.0,35.0,54.0,9.0,0.0,9.0,1.0,2.0,1.0,1.0,24.0,1.0,12.0,73.0,2.0,1.0,56.0,11.25,71.0,16.0,외,3300,WO,0.33962264150943394,0.39473684210526316,0.7343594836146972
권정웅,112.0,99.0,11.0,11.0,21.0,3.0,0.0,6.0,0.0,0.0,4.0,0.0,8.0,0.0,1.0,31.0,4.0,1.0,22.0,1.833333333,27.0,3.0,포,3000,SS,0.2777777777777778,0.42424242424242425,0.702020202020202
최정용,8.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,내,3500,SK,0.42857142857142855,0.3333333333333333,0.7619047619047619
김재유,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,외,3000,LT,0.0,0.0,0.0
김대륙,58.0,53.0,2.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,17.0,0.0,4.0,9.0,1.0,8.0,1.0,내,3400,LT,0.21052631578947367,0.18867924528301888,0.39920556107249255
강동관,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,포,2700,LT,,,
김호령,105.0,90.0,11.0,31.0,24.0,6.0,1.0,1.0,3.0,2.0,3.0,1.0,9.0,0.0,2.0,23.0,0.0,0.0,34.0,5.5,27.0,7.0,외,9500,HT,0.3431372549019608,0.3888888888888889,0.7320261437908497
김웅빈,142.0,135.0,19.0,18.0,34.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,33.0,3.0,4.0,23.0,8.666666667,39.0,11.0,내,3000,WO,0.2887323943661972,0.37777777777777777,0.666510172143975
남태혁,68.0,60.0,11.0,8.0,15.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,20.0,0.0,2.0,12.0,3.5,12.0,4.0,내,3000,KT,0.3235294117647059,0.36666666666666664,0.6901960784313725
김주성,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,내,2700,LG,1.0,1.0,2.0
서예일,25.0,23.0,2.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,6.0,1.5,6.0,2.0,내,3100,OB,0.2916666666666667,0.34782608695652173,0.6394927536231885
황경태,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,내,2700,OB,,,
조수행,52.0,47.0,2.0,17.0,13.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,12.0,0.0,1.0,22.0,2.0,14.0,2.0,외,3600,OB,0.34615384615384615,0.3191489361702128,0.6653027823240589
