,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
60845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61102,297.0,263.0,47.0,28.0,70.0,7.0,0.0,8.0,0.0,0.0,4.0,6.0,17.0,0.0,7.0,48.0,6.0,5.0,53.0,17.0,79.0,25.0
61186,320.0,276.0,41.0,38.0,81.0,10.0,1.0,6.0,6.0,9.0,6.0,1.0,34.0,0.0,3.0,49.0,3.0,2.0,77.0,15.666666666000001,75.0,23.0
61204,116.0,107.0,14.0,9.0,27.0,6.0,0.0,0.0,5.0,1.0,3.0,0.0,6.0,0.0,0.0,19.0,1.0,2.0,40.0,5.916666666999999,33.0,9.0
61208,32.0,24.0,3.0,9.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,15.0,1.5,6.0,2.0
61214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61353,566.0,527.0,72.0,92.0,176.0,22.0,9.0,8.0,28.0,14.0,1.0,5.0,28.0,1.0,5.0,103.0,10.0,1.0,91.0,35.666666667,137.0,56.0
61366,68.0,62.0,7.0,4.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,18.0,2.0,0.0,8.0,4.0,17.0,4.0
61411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61463,118.0,106.0,11.0,13.0,25.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,0.0,1.0,25.0,3.0,2.0,23.0,2.5,26.0,4.0
61554,49.0,45.0,1.0,8.0,9.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,19.0,2.0,1.0,16.0,0.0,12.0,0.0
61557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61591,36.0,28.0,4.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,9.0,2.5,9.0,3.0
61643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61652,82.0,67.0,13.0,20.0,20.0,5.0,0.0,2.0,6.0,1.0,2.0,1.0,5.0,0.0,7.0,15.0,2.0,1.0,21.0,4.5,14.0,5.0
61666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61700,116.0,101.0,7.0,16.0,16.0,3.0,2.0,1.0,0.0,0.0,4.0,1.0,8.0,0.0,2.0,30.0,5.0,7.0,15.0,2.0,25.0,2.0
61742,13.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,5.0,0.0
61743,144.0,132.0,15.0,18.0,35.0,8.0,4.0,2.0,1.0,2.0,2.0,0.0,9.0,0.0,1.0,38.0,2.0,1.0,25.0,6.5,26.0,8.0
61891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62007,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
62016,9.0,9.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0
62056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62147,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62164,137.0,111.0,12.0,18.0,28.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,25.0,1.0,1.0,37.0,1.0,0.0,27.0,4.0,25.0,5.0
62234,134.0,118.0,9.0,34.0,34.0,5.0,0.0,3.0,3.0,2.0,2.0,1.0,10.0,0.0,3.0,28.0,0.0,2.0,31.0,7.0,27.0,8.0
62244,210.0,172.0,23.0,26.0,36.0,5.0,1.0,5.0,2.0,2.0,11.0,3.0,22.0,0.0,2.0,45.0,1.0,2.0,35.0,6.5,54.0,8.0
62265,254.0,213.0,37.0,30.0,60.0,12.0,1.0,4.0,1.0,1.0,3.0,4.0,25.0,0.0,9.0,39.0,8.0,5.0,47.0,12.583333333,61.0,19.0
62302,17.0,13.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,0.0,6.0,1.0,4.0,1.0
62332,82.0,72.0,8.0,8.0,13.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,14.0,1.0,1.0,14.0,3.0,16.0,5.0
62353,263.0,223.0,26.0,45.0,69.0,5.0,3.0,4.0,16.0,9.0,5.0,2.0,30.0,0.0,3.0,52.0,5.0,3.0,54.0,12.833333333000002,52.0,19.0
62404,495.0,428.0,77.0,105.0,147.0,19.0,13.0,14.0,10.0,5.0,2.0,5.0,55.0,1.0,5.0,68.0,4.0,7.0,109.0,25.899999999000002,128.0,45.0
62406,23.0,20.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,11.0,1.0,5.0,1.0
62415,641.0,564.0,61.0,109.0,169.0,26.0,12.0,4.0,52.0,15.0,22.0,3.0,49.0,2.0,3.0,87.0,6.0,2.0,100.0,26.916666666,127.0,38.0
62556,104.0,81.0,10.0,13.0,25.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,13.0,0.0,8.0,12.0,3.0,2.0,28.0,4.5,26.0,8.0
62558,144.0,120.0,16.0,12.0,33.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,22.0,1.0,0.0,42.0,0.0,0.0,26.0,6.5,38.0,7.0
62559,415.0,366.0,56.0,39.0,106.0,20.0,0.0,7.0,3.0,1.0,2.0,5.0,38.0,2.0,4.0,84.0,10.0,6.0,95.0,18.833333332,110.0,30.0
62648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62668,34.0,30.0,2.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,8.0,0.0
62698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62700,441.0,405.0,57.0,58.0,113.0,21.0,1.0,10.0,5.0,7.0,8.0,1.0,18.0,1.0,9.0,115.0,3.0,19.0,88.0,18.5,110.0,32.0
62768,9.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0
62797,446.0,384.0,53.0,52.0,104.0,12.0,4.0,4.0,5.0,2.0,8.0,6.0,39.0,0.0,9.0,67.0,6.0,3.0,90.0,22.250000000999997,107.0,34.0
62802,103.0,87.0,13.0,19.0,24.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,9.0,0.0,2.0,28.0,0.0,2.0,19.0,5.833333333,30.0,9.0
62864,170.0,144.0,14.0,17.0,37.0,9.0,0.0,2.0,1.0,1.0,3.0,0.0,21.0,0.0,2.0,38.0,2.0,7.0,49.0,9.833333333,39.0,12.0
62893,177.0,155.0,11.0,29.0,51.0,4.0,1.0,0.0,8.0,4.0,6.0,1.0,8.0,0.0,7.0,48.0,1.0,5.0,52.0,8.0,41.0,12.0
62895,20.0,18.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0,2.0,0.0
62907,515.0,435.0,55.0,84.0,149.0,16.0,6.0,3.0,20.0,6.0,10.0,7.0,55.0,1.0,8.0,70.0,9.0,14.0,122.0,30.833333333,106.0,46.0
62908,12.0,12.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,13.0,0.5,7.0,1.0
62917,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
62926,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62934,348.0,306.0,51.0,60.0,81.0,15.0,1.0,15.0,5.0,2.0,7.0,2.0,30.0,0.0,3.0,64.0,15.0,1.0,62.0,19.5,85.0,27.0
62947,653.0,572.0,113.0,116.0,177.0,37.0,2.0,22.0,7.0,4.0,1.0,4.0,67.0,2.0,9.0,136.0,4.0,8.0,131.0,32.316666665999996,181.0,58.0
62966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63077,39.0,39.0,4.0,7.0,7.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,2.5,8.0,3.0
63088,8.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,4.0,0.0
63123,41.0,38.0,3.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,12.0,0.0,5.0,6.0,2.0,9.0,2.0
63248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63257,19.0,18.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,8.0,3.0
63260,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
63339,13.0,12.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0
63360,14.0,10.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,3.0,6.0,0.0,4.0,0.0
63440,174.0,150.0,25.0,20.0,39.0,11.0,0.0,6.0,0.0,0.0,9.0,2.0,8.0,0.0,5.0,41.0,4.0,5.0,23.0,10.5,37.0,14.0
63448,12.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0
63634,273.0,241.0,45.0,27.0,64.0,16.0,2.0,9.0,0.0,1.0,3.0,6.0,19.0,1.0,4.0,66.0,5.0,5.0,47.0,15.333333332999999,73.0,19.0
63636,81.0,70.0,4.0,18.0,15.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,7.0,0.0,3.0,15.0,1.0,4.0,16.0,3.0,24.0,4.0
63638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63700,85.0,76.0,11.0,7.0,18.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,16.0,1.0,0.0,16.0,4.833333334,21.0,8.0
63704,238.0,207.0,30.0,43.0,64.0,4.0,2.0,4.0,12.0,2.0,10.0,0.0,20.0,0.0,1.0,46.0,0.0,1.0,47.0,12.0,46.0,19.0
63722,30.0,28.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,8.0,2.5,7.0,3.0
63913,105.0,81.0,16.0,20.0,27.0,3.0,0.0,4.0,3.0,1.0,2.0,2.0,17.0,0.0,3.0,17.0,2.0,1.0,22.0,5.666666666999999,23.0,9.0
63920,325.0,253.0,12.0,60.0,66.0,7.0,1.0,1.0,2.0,5.0,2.0,1.0,66.0,0.0,2.0,62.0,4.0,1.0,74.0,8.5,56.0,10.0
63950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63963,47.0,41.0,9.0,4.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,9.0,0.0,0.0,7.0,2.0,17.0,4.0
64004,31.0,29.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,11.0,0.0
64006,251.0,236.0,17.0,36.0,57.0,9.0,1.0,3.0,17.0,1.0,5.0,2.0,8.0,0.0,0.0,40.0,5.0,13.0,56.0,6.5,55.0,8.0
64007,87.0,80.0,7.0,9.0,16.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,26.0,2.0,6.0,22.0,3.5,13.0,4.0
64017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,29.0,28.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,4.0,2.0,8.0,2.0
64086,184.0,158.0,24.0,30.0,44.0,8.0,0.0,8.0,0.0,4.0,6.0,0.0,15.0,0.0,5.0,54.0,3.0,7.0,31.0,7.5,47.0,9.0
64100,50.0,47.0,4.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,3.0,2.0,9.0,3.0,16.0,4.0
64115,15.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0
64153,215.0,203.0,37.0,24.0,56.0,10.0,1.0,6.0,3.0,0.0,3.0,2.0,6.0,0.0,1.0,48.0,1.0,5.0,32.0,14.166666666000001,73.0,22.0
64166,55.0,50.0,3.0,10.0,13.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,18.0,0.0,2.0,19.0,2.0,12.0,2.0
64213,11.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.333333333,5.0,1.0
64300,599.0,526.0,84.0,92.0,148.0,29.0,7.0,20.0,28.0,15.0,2.0,5.0,60.0,2.0,6.0,80.0,7.0,21.0,92.0,31.416666665,146.0,46.0
64346,265.0,233.0,24.0,43.0,58.0,11.0,1.0,8.0,17.0,6.0,6.0,0.0,25.0,0.0,1.0,82.0,2.0,3.0,45.0,9.0,61.0,12.0
64468,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64493,27.0,26.0,3.0,11.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,21.0,2.0,9.0,2.0
64499,215.0,188.0,14.0,25.0,41.0,7.0,0.0,0.0,1.0,1.0,11.0,1.0,8.0,0.0,7.0,42.0,10.0,9.0,41.0,6.333333333000001,53.0,9.0
64610,322.0,298.0,27.0,36.0,81.0,13.0,3.0,0.0,7.0,3.0,9.0,0.0,15.0,0.0,0.0,46.0,2.0,11.0,65.0,17.833333333,80.0,25.0
64646,46.0,42.0,3.0,9.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,9.0,2.0,7.0,18.0,3.0,14.0,3.0
64699,544.0,499.0,86.0,71.0,156.0,37.0,1.0,20.0,10.0,3.0,0.0,7.0,33.0,0.0,5.0,70.0,16.0,13.0,115.0,22.583333332000002,116.0,33.0
64717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64724,9.0,8.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0
64802,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
64861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64890,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
64893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64895,45.0,43.0,2.0,6.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,1.0,0.0,10.0,1.0,8.0,1.0
64906,26.0,23.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,1.0,4.0,8.0,1.0,6.0,1.0
64914,529.0,436.0,121.0,118.0,140.0,30.0,3.0,40.0,13.0,4.0,0.0,7.0,74.0,6.0,12.0,103.0,2.0,4.0,88.0,27.0,138.0,42.0
64944,15.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,1.0,2.0,1.0
64960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64984,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
64995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65005,381.0,325.0,74.0,52.0,86.0,16.0,0.0,22.0,0.0,0.0,0.0,5.0,50.0,0.0,1.0,51.0,12.0,7.0,57.0,19.399999999000002,97.0,32.0
65042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65044,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65058,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
65062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65096,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0
65103,579.0,523.0,102.0,101.0,161.0,36.0,0.0,26.0,18.0,9.0,1.0,6.0,39.0,2.0,10.0,67.0,8.0,17.0,98.0,29.666666665999998,148.0,45.0
65115,52.0,45.0,4.0,13.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,9.0,0.0,2.0,17.0,3.0,8.0,3.0
65120,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65293,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65343,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
65399,20.0,17.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,1.0,6.0,1.0,2.0,1.0
65412,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65464,61.0,54.0,2.0,10.0,16.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,16.0,0.0,1.0,17.0,3.0,15.0,4.0
65503,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0
65506,30.0,27.0,1.0,8.0,4.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,4.0,1.5,12.0,2.0
65513,59.0,49.0,5.0,5.0,7.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,3.0,20.0,0.0,5.0,14.0,2.0,17.0,2.0
65514,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65523,272.0,247.0,41.0,46.0,72.0,18.0,3.0,7.0,15.0,2.0,1.0,5.0,18.0,1.0,1.0,59.0,5.0,2.0,42.0,10.083333333,74.0,19.0
